Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
DTYEditSuite,Chrome 78.0.3904.108,,2019-12-03 16:48:59,2019-12-03 16:50:01,1m - 1.755s,ERROR
,,,,,,
Test Cases/VirtualShow/BODTY/DTYEdit,Chrome 78.0.3904.108,,2019-12-03 16:49:00,2019-12-03 16:50:00,59.809s,ERROR
Start listener action : sampleBeforeTestCase,Chrome 78.0.3904.108,,2019-12-03 16:49:01,2019-12-03 16:49:01,0.185s,PASSED
"dataFile = ""virtualShowData""",Chrome 78.0.3904.108,,2019-12-03 16:49:03,2019-12-03 16:49:03,0.003s,PASSED
"guest1 = findTestData(dataFile).getValue(""guest1"", 1)",Chrome 78.0.3904.108,,2019-12-03 16:49:03,2019-12-03 16:49:06,2.678s,PASSED
dfMM = new java.text.SimpleDateFormat(MM),Chrome 78.0.3904.108,,2019-12-03 16:49:06,2019-12-03 16:49:06,0.082s,PASSED
dfDD = new java.text.SimpleDateFormat(dd),Chrome 78.0.3904.108,,2019-12-03 16:49:06,2019-12-03 16:49:06,0.004s,PASSED
dfYYYY = new java.text.SimpleDateFormat(yyyy),Chrome 78.0.3904.108,,2019-12-03 16:49:06,2019-12-03 16:49:06,0.002s,PASSED
today = getInstance().getTime(),Chrome 78.0.3904.108,,2019-12-03 16:49:06,2019-12-03 16:49:06,0.032s,PASSED
c = Calendar.getInstance(),Chrome 78.0.3904.108,,2019-12-03 16:49:06,2019-12-03 16:49:06,0.005s,PASSED
c.setTime(today),Chrome 78.0.3904.108,,2019-12-03 16:49:06,2019-12-03 16:49:06,0.004s,PASSED
"c.add(DATE, 2)",Chrome 78.0.3904.108,,2019-12-03 16:49:06,2019-12-03 16:49:06,0.004s,PASSED
newShowDate = c.getTime(),Chrome 78.0.3904.108,,2019-12-03 16:49:06,2019-12-03 16:49:06,0.002s,PASSED
vsyear = dfYYYY.format(newShowDate),Chrome 78.0.3904.108,,2019-12-03 16:49:06,2019-12-03 16:49:06,0.006s,PASSED
vsmonth = dfMM.format(newShowDate),Chrome 78.0.3904.108,,2019-12-03 16:49:06,2019-12-03 16:49:06,0.002s,PASSED
vsday = dfDD.format(newShowDate),Chrome 78.0.3904.108,,2019-12-03 16:49:06,2019-12-03 16:49:06,0.010s,PASSED
"println(UtilityMethods.concat(""from DTY: "", vsday, "" "", vsmonth, "" "", vsyear))",Chrome 78.0.3904.108,,2019-12-03 16:49:06,2019-12-03 16:49:06,0.067s,PASSED
"callTestCase(findTestCase(""VirtualShow/createAPhysicalShow""), [""BOURL"":"""", ""BOuser"":"""", ""BOpass"":"""", ""hostess"":"""", ""cohostess"":"""", ""vsday"":vsday, ""vsmonth"":vsmonth, ""vsyear"":vsyear], STOP_ON_FAILURE)",Chrome 78.0.3904.108,,2019-12-03 16:49:06,2019-12-03 16:50:00,53.868s,ERROR
