Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
EditOrderTestSuit,Chrome 76.0.3809.87,,2019-08-01 15:09:33,2019-08-01 15:15:00,5m - 26.413s,PASSED
,,,,,,
Test Cases/editOrder/rsEditOrderPartialShip,Chrome 76.0.3809.87,,2019-08-01 15:09:34,2019-08-01 15:14:59,5m - 24.487s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 76.0.3809.87,,2019-08-01 15:09:35,2019-08-01 15:09:35,0.098s,PASSED
"callTestCase(findTestCase(""editOrder/retailOrderBO""), [""editScenarioNumber"":5], STOP_ON_FAILURE)",Chrome 76.0.3809.87,,2019-08-01 15:09:36,2019-08-01 15:11:48,2m - 12.690s,PASSED
delay(10),Chrome 76.0.3809.87,,2019-08-01 15:11:48,2019-08-01 15:11:58,10.007s,PASSED
"callTestCase(findTestCase(""NewArrival/warehouseShipping""), [""orderId"":retailOrderID], STOP_ON_FAILURE)",Chrome 76.0.3809.87,,2019-08-01 15:11:58,2019-08-01 15:12:56,57.610s,PASSED
"callTestCase(findTestCase(""TestCaseUtilities/setVHost""), [:], STOP_ON_FAILURE)",Chrome 76.0.3809.87,,2019-08-01 15:12:56,2019-08-01 15:13:08,11.764s,PASSED
"callTestCase(findTestCase(""TestCaseUtilities/rsLogin""), [""RSURL"":"""", ""RSuser"":"""", ""RSpass"":""""], STOP_ON_FAILURE)",Chrome 76.0.3809.87,,2019-08-01 15:13:08,2019-08-01 15:14:16,1m - 8.363s,PASSED
"callTestCase(findTestCase(""editOrder/rsOrderHistoryConfirm""), [""orderID"":"""", ""editScenarioNumber"":5], STOP_ON_FAILURE)",Chrome 76.0.3809.87,,2019-08-01 15:14:16,2019-08-01 15:14:59,42.581s,PASSED
