Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
NASuit2_addOnOrderRetail,Chrome 74.0.3729.157,,2019-05-22 17:06:15,2019-05-22 17:09:48,3m - 32.330s,PASSED
,,,,,,
Test Cases/addOnOrderRetail,Chrome 74.0.3729.157,,2019-05-22 17:06:16,2019-05-22 17:09:47,3m - 30.433s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 74.0.3729.157,,2019-05-22 17:06:17,2019-05-22 17:06:18,0.299s,PASSED
"openBrowser("""")",Chrome 74.0.3729.157,,2019-05-22 17:06:18,2019-05-22 17:06:23,4.219s,PASSED
"callTestCase(findTestCase(""backOfficeLogin""), [""BOURL"":"""", ""BOuser"":"""", ""BOpass"":""""], STOP_ON_FAILURE)",Chrome 74.0.3729.157,,2019-05-22 17:06:23,2019-05-22 17:06:56,33.731s,PASSED
"click(findTestObject(""Object Repository/Page_cabi Home/a_Shows  Orders""))",Chrome 74.0.3729.157,,2019-05-22 17:06:56,2019-05-22 17:06:56,0.096s,PASSED
delay(1),Chrome 74.0.3729.157,,2019-05-22 17:06:56,2019-05-22 17:06:57,1.006s,PASSED
"rightClick(findTestObject(""Page_cabi Home/a_Shows  Orders""))",Chrome 74.0.3729.157,,2019-05-22 17:06:57,2019-05-22 17:06:58,0.107s,PASSED
"click(findTestObject(""Page_cabi Home/a_retail_purchases""))",Chrome 74.0.3729.157,,2019-05-22 17:06:58,2019-05-22 17:07:00,2.693s,PASSED
delay(3),Chrome 74.0.3729.157,,2019-05-22 17:07:00,2019-05-22 17:07:03,3.004s,PASSED
"click(findTestObject(""Object Repository/Page_cabi Home/existingCustomer""))",Chrome 74.0.3729.157,,2019-05-22 17:07:03,2019-05-22 17:07:03,0.096s,PASSED
contactNumber = 3,Chrome 74.0.3729.157,,2019-05-22 17:07:03,2019-05-22 17:07:03,0.001s,PASSED
"firstName = findTestData(""contactData"").getValue(""firstName"", contactNumber)",Chrome 74.0.3729.157,,2019-05-22 17:07:03,2019-05-22 17:07:03,0.037s,PASSED
"lastName = findTestData(""contactData"").getValue(""lastName"", contactNumber)",Chrome 74.0.3729.157,,2019-05-22 17:07:03,2019-05-22 17:07:03,0.042s,PASSED
"email = findTestData(""contactData"").getValue(""email"", contactNumber)",Chrome 74.0.3729.157,,2019-05-22 17:07:03,2019-05-22 17:07:04,0.036s,PASSED
"address1 = findTestData(""contactData"").getValue(""address1"", contactNumber)",Chrome 74.0.3729.157,,2019-05-22 17:07:04,2019-05-22 17:07:04,0.056s,PASSED
"city = findTestData(""contactData"").getValue(""city"", contactNumber)",Chrome 74.0.3729.157,,2019-05-22 17:07:04,2019-05-22 17:07:04,0.035s,PASSED
"state = findTestData(""contactData"").getValue(""state"", contactNumber)",Chrome 74.0.3729.157,,2019-05-22 17:07:04,2019-05-22 17:07:04,0.026s,PASSED
"zip = findTestData(""contactData"").getValue(""zip"", contactNumber)",Chrome 74.0.3729.157,,2019-05-22 17:07:04,2019-05-22 17:07:04,0.049s,PASSED
existingCustFName = firstName,Chrome 74.0.3729.157,,2019-05-22 17:07:04,2019-05-22 17:07:04,0.001s,PASSED
existingCustLName = lastName,Chrome 74.0.3729.157,,2019-05-22 17:07:04,2019-05-22 17:07:04,0.000s,PASSED
"space = "" """,Chrome 74.0.3729.157,,2019-05-22 17:07:04,2019-05-22 17:07:04,0.001s,PASSED
existingCust = $existingCustFName$space$existingCustLName,Chrome 74.0.3729.157,,2019-05-22 17:07:04,2019-05-22 17:07:04,0.015s,PASSED
