Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
NewArrivalsSuite1,Chrome 77.0.3865.90,,2019-10-03 17:47:56,2019-10-03 18:09:53,21m - 56.341s,PASSED
,,,,,,
Test Cases/NA_Timezone_Separated/BORetail1,Chrome 77.0.3865.90,,2019-10-03 17:47:57,2019-10-03 17:50:39,2m - 41.979s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 77.0.3865.90,,2019-10-03 17:47:57,2019-10-03 17:47:57,0.054s,PASSED
"openBrowser("""")",Chrome 77.0.3865.90,,2019-10-03 17:47:57,2019-10-03 17:48:01,3.497s,PASSED
driver = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 77.0.3865.90,,2019-10-03 17:48:01,2019-10-03 17:48:01,0.001s,PASSED
executor = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 77.0.3865.90,,2019-10-03 17:48:01,2019-10-03 17:48:01,0.003s,PASSED
"for ([timeRow = 1, timeRow <= 1, (timeRow++)])",Chrome 77.0.3865.90,,2019-10-03 17:48:01,2019-10-03 17:50:39,2m - 38.009s,PASSED
,,,,,,
Test Cases/NA_Timezone_Separated/BORetail2,Chrome 77.0.3865.90,,2019-10-03 17:50:39,2019-10-03 17:53:18,2m - 39.321s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 77.0.3865.90,,2019-10-03 17:50:39,2019-10-03 17:50:39,0.001s,PASSED
"openBrowser("""")",Chrome 77.0.3865.90,,2019-10-03 17:50:39,2019-10-03 17:50:42,2.946s,PASSED
driver = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 77.0.3865.90,,2019-10-03 17:50:42,2019-10-03 17:50:42,0.001s,PASSED
executor = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 77.0.3865.90,,2019-10-03 17:50:42,2019-10-03 17:50:42,0.000s,PASSED
"for ([timeRow = 2, timeRow <= 2, (timeRow++)])",Chrome 77.0.3865.90,,2019-10-03 17:50:42,2019-10-03 17:53:18,2m - 36.155s,PASSED
,,,,,,
Test Cases/NA_Timezone_Separated/BORetail3,Chrome 77.0.3865.90,,2019-10-03 17:53:18,2019-10-03 17:57:54,4m - 36.166s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 77.0.3865.90,,2019-10-03 17:53:18,2019-10-03 17:53:18,0.001s,PASSED
"openBrowser("""")",Chrome 77.0.3865.90,,2019-10-03 17:53:18,2019-10-03 17:53:21,2.800s,PASSED
driver = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 77.0.3865.90,,2019-10-03 17:53:21,2019-10-03 17:53:21,0.000s,PASSED
executor = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 77.0.3865.90,,2019-10-03 17:53:21,2019-10-03 17:53:21,0.001s,PASSED
"for ([timeRow = 3, timeRow <= 3, (timeRow++)])",Chrome 77.0.3865.90,,2019-10-03 17:53:21,2019-10-03 17:57:54,4m - 33.176s,PASSED
,,,,,,
Test Cases/NA_Timezone_Separated/BORetail4,Chrome 77.0.3865.90,,2019-10-03 17:57:54,2019-10-03 18:00:47,2m - 53.478s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 77.0.3865.90,,2019-10-03 17:57:54,2019-10-03 17:57:54,0.001s,PASSED
"openBrowser("""")",Chrome 77.0.3865.90,,2019-10-03 17:57:54,2019-10-03 17:57:57,3.084s,PASSED
driver = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 77.0.3865.90,,2019-10-03 17:57:57,2019-10-03 17:57:57,0.000s,PASSED
executor = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 77.0.3865.90,,2019-10-03 17:57:57,2019-10-03 17:57:57,0.000s,PASSED
"for ([timeRow = 4, timeRow <= 4, (timeRow++)])",Chrome 77.0.3865.90,,2019-10-03 17:57:57,2019-10-03 18:00:47,2m - 50.225s,PASSED
,,,,,,
Test Cases/NA_Timezone_Separated/BORetail5,Chrome 77.0.3865.90,,2019-10-03 18:00:47,2019-10-03 18:05:20,4m - 32.538s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 77.0.3865.90,,2019-10-03 18:00:47,2019-10-03 18:00:47,0.000s,PASSED
"openBrowser("""")",Chrome 77.0.3865.90,,2019-10-03 18:00:48,2019-10-03 18:00:51,2.897s,PASSED
driver = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 77.0.3865.90,,2019-10-03 18:00:51,2019-10-03 18:00:51,0.000s,PASSED
executor = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 77.0.3865.90,,2019-10-03 18:00:51,2019-10-03 18:00:51,0.000s,PASSED
"for ([timeRow = 5, timeRow <= 5, (timeRow++)])",Chrome 77.0.3865.90,,2019-10-03 18:00:51,2019-10-03 18:05:20,4m - 29.462s,PASSED
,,,,,,
Test Cases/NA_Timezone_Separated/BORetail6,Chrome 77.0.3865.90,,2019-10-03 18:05:20,2019-10-03 18:09:52,4m - 31.816s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 77.0.3865.90,,2019-10-03 18:05:20,2019-10-03 18:05:20,0.001s,PASSED
"openBrowser("""")",Chrome 77.0.3865.90,,2019-10-03 18:05:20,2019-10-03 18:05:23,2.820s,PASSED
driver = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 77.0.3865.90,,2019-10-03 18:05:23,2019-10-03 18:05:23,0.001s,PASSED
executor = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 77.0.3865.90,,2019-10-03 18:05:23,2019-10-03 18:05:23,0.000s,PASSED
"for ([timeRow = 6, timeRow <= 6, (timeRow++)])",Chrome 77.0.3865.90,,2019-10-03 18:05:23,2019-10-03 18:09:52,4m - 28.833s,PASSED
