Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
NewArrivalsSuite1,Chrome 77.0.3865.90,,2019-10-04 15:04:44,2019-10-04 15:32:43,27m - 58.754s,FAILED
,,,,,,
Test Cases/NA_Timezone_Separated/addOnOrderPersonal1,Chrome 77.0.3865.90,,2019-10-04 15:04:45,2019-10-04 15:12:41,7m - 56.437s,FAILED
Start listener action : sampleBeforeTestCase,Chrome 77.0.3865.90,,2019-10-04 15:04:45,2019-10-04 15:04:45,0.135s,PASSED
"openBrowser("""")",Chrome 77.0.3865.90,,2019-10-04 15:04:45,2019-10-04 15:04:49,3.712s,PASSED
"addOnStyle = findTestData(""miscData"").getValue(""addOnStyle"", 1)",Chrome 77.0.3865.90,,2019-10-04 15:04:49,2019-10-04 15:04:50,1.008s,PASSED
rmaNumber = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 77.0.3865.90,,2019-10-04 15:04:50,2019-10-04 15:04:50,0.001s,PASSED
"for ([timeRow = 1, timeRow <= 1, (timeRow++)])",Chrome 77.0.3865.90,,2019-10-04 15:04:50,2019-10-04 15:12:41,7m - 51.074s,FAILED
,,,,,,
Test Cases/NA_Timezone_Separated/addOnOrderPersonal2,Chrome 77.0.3865.90,,2019-10-04 15:12:41,2019-10-04 15:16:38,3m - 56.981s,FAILED
Start listener action : sampleBeforeTestCase,Chrome 77.0.3865.90,,2019-10-04 15:12:41,2019-10-04 15:12:41,0.002s,PASSED
"openBrowser("""")",Chrome 77.0.3865.90,,2019-10-04 15:12:42,2019-10-04 15:12:44,2.913s,PASSED
"addOnStyle = findTestData(""miscData"").getValue(""addOnStyle"", 1)",Chrome 77.0.3865.90,,2019-10-04 15:12:44,2019-10-04 15:12:44,0.020s,PASSED
rmaNumber = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 77.0.3865.90,,2019-10-04 15:12:44,2019-10-04 15:12:44,0.000s,PASSED
"for ([timeRow = 2, timeRow <= 2, (timeRow++)])",Chrome 77.0.3865.90,,2019-10-04 15:12:44,2019-10-04 15:16:38,3m - 53.755s,FAILED
,,,,,,
Test Cases/NA_Timezone_Separated/addOnOrderPersonal3,Chrome 77.0.3865.90,,2019-10-04 15:16:38,2019-10-04 15:20:33,3m - 54.745s,FAILED
Start listener action : sampleBeforeTestCase,Chrome 77.0.3865.90,,2019-10-04 15:16:38,2019-10-04 15:16:38,0.000s,PASSED
"openBrowser("""")",Chrome 77.0.3865.90,,2019-10-04 15:16:39,2019-10-04 15:16:42,2.995s,PASSED
"addOnStyle = findTestData(""miscData"").getValue(""addOnStyle"", 1)",Chrome 77.0.3865.90,,2019-10-04 15:16:42,2019-10-04 15:16:42,0.016s,PASSED
rmaNumber = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 77.0.3865.90,,2019-10-04 15:16:42,2019-10-04 15:16:42,0.000s,PASSED
"for ([timeRow = 3, timeRow <= 3, (timeRow++)])",Chrome 77.0.3865.90,,2019-10-04 15:16:42,2019-10-04 15:20:33,3m - 51.435s,FAILED
,,,,,,
Test Cases/NA_Timezone_Separated/addOnOrderPersonal4,Chrome 77.0.3865.90,,2019-10-04 15:20:33,2019-10-04 15:24:27,3m - 53.602s,FAILED
Start listener action : sampleBeforeTestCase,Chrome 77.0.3865.90,,2019-10-04 15:20:33,2019-10-04 15:20:33,0.001s,PASSED
"openBrowser("""")",Chrome 77.0.3865.90,,2019-10-04 15:20:33,2019-10-04 15:20:36,3.100s,PASSED
"addOnStyle = findTestData(""miscData"").getValue(""addOnStyle"", 1)",Chrome 77.0.3865.90,,2019-10-04 15:20:36,2019-10-04 15:20:36,0.016s,PASSED
rmaNumber = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 77.0.3865.90,,2019-10-04 15:20:36,2019-10-04 15:20:36,0.001s,PASSED
"for ([timeRow = 4, timeRow <= 4, (timeRow++)])",Chrome 77.0.3865.90,,2019-10-04 15:20:36,2019-10-04 15:24:27,3m - 50.226s,FAILED
,,,,,,
Test Cases/NA_Timezone_Separated/addOnOrderPersonal5,Chrome 77.0.3865.90,,2019-10-04 15:24:27,2019-10-04 15:28:23,3m - 56.187s,FAILED
Start listener action : sampleBeforeTestCase,Chrome 77.0.3865.90,,2019-10-04 15:24:27,2019-10-04 15:24:27,0.001s,PASSED
"openBrowser("""")",Chrome 77.0.3865.90,,2019-10-04 15:24:27,2019-10-04 15:24:30,2.800s,PASSED
"addOnStyle = findTestData(""miscData"").getValue(""addOnStyle"", 1)",Chrome 77.0.3865.90,,2019-10-04 15:24:30,2019-10-04 15:24:30,0.017s,PASSED
rmaNumber = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 77.0.3865.90,,2019-10-04 15:24:30,2019-10-04 15:24:30,0.000s,PASSED
"for ([timeRow = 5, timeRow <= 5, (timeRow++)])",Chrome 77.0.3865.90,,2019-10-04 15:24:30,2019-10-04 15:28:23,3m - 53.132s,FAILED
,,,,,,
Test Cases/NA_Timezone_Separated/addOnOrderPersonal6,Chrome 77.0.3865.90,,2019-10-04 15:28:23,2019-10-04 15:32:42,4m - 19.659s,FAILED
Start listener action : sampleBeforeTestCase,Chrome 77.0.3865.90,,2019-10-04 15:28:23,2019-10-04 15:28:23,0.001s,PASSED
"openBrowser("""")",Chrome 77.0.3865.90,,2019-10-04 15:28:23,2019-10-04 15:28:26,2.927s,PASSED
"addOnStyle = findTestData(""miscData"").getValue(""addOnStyle"", 1)",Chrome 77.0.3865.90,,2019-10-04 15:28:26,2019-10-04 15:28:26,0.015s,PASSED
rmaNumber = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 77.0.3865.90,,2019-10-04 15:28:26,2019-10-04 15:28:26,0.000s,PASSED
"for ([timeRow = 6, timeRow <= 6, (timeRow++)])",Chrome 77.0.3865.90,,2019-10-04 15:28:26,2019-10-04 15:32:42,4m - 16.401s,FAILED
