Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
ShowOrderTestSuite,Chrome 77.0.3865.90,,2019-10-05 23:35:18,2019-10-05 23:38:28,3m - 10.749s,FAILED
,,,,,,
Test Cases/StressTests/ShowOrder,Chrome 77.0.3865.90,,2019-10-05 23:35:24,2019-10-05 23:38:27,3m - 3.072s,FAILED
Start listener action : sampleBeforeTestCase,Chrome 77.0.3865.90,,2019-10-05 23:35:26,2019-10-05 23:35:26,0.171s,PASSED
"dataFile = ""virtualShowData""",Chrome 77.0.3865.90,,2019-10-05 23:35:33,2019-10-05 23:35:33,0.009s,PASSED
"guest1 = findTestData(dataFile).getValue(""guest1"", 1)",Chrome 77.0.3865.90,,2019-10-05 23:35:33,2019-10-05 23:35:47,14.223s,PASSED
"guest2 = findTestData(dataFile).getValue(""guest2"", 1)",Chrome 77.0.3865.90,,2019-10-05 23:35:47,2019-10-05 23:35:48,1.033s,PASSED
"hostess = findTestData(dataFile).getValue(""hostess"", 1)",Chrome 77.0.3865.90,,2019-10-05 23:35:48,2019-10-05 23:35:50,1.262s,PASSED
"cohostess = findTestData(dataFile).getValue(""cohostess"", 1)",Chrome 77.0.3865.90,,2019-10-05 23:35:50,2019-10-05 23:35:50,0.595s,PASSED
dfMM = new java.text.SimpleDateFormat(MM),Chrome 77.0.3865.90,,2019-10-05 23:35:50,2019-10-05 23:35:50,0.184s,PASSED
dfDD = new java.text.SimpleDateFormat(dd),Chrome 77.0.3865.90,,2019-10-05 23:35:51,2019-10-05 23:35:51,0.007s,PASSED
dfYYYY = new java.text.SimpleDateFormat(yyyy),Chrome 77.0.3865.90,,2019-10-05 23:35:51,2019-10-05 23:35:51,0.014s,PASSED
today = getInstance().getTime(),Chrome 77.0.3865.90,,2019-10-05 23:35:51,2019-10-05 23:35:51,0.101s,PASSED
c = Calendar.getInstance(),Chrome 77.0.3865.90,,2019-10-05 23:35:51,2019-10-05 23:35:51,0.003s,PASSED
c.setTime(today),Chrome 77.0.3865.90,,2019-10-05 23:35:51,2019-10-05 23:35:51,0.013s,PASSED
"c.add(DATE, 0)",Chrome 77.0.3865.90,,2019-10-05 23:35:51,2019-10-05 23:35:51,0.011s,PASSED
newShowDate = c.getTime(),Chrome 77.0.3865.90,,2019-10-05 23:35:51,2019-10-05 23:35:51,0.006s,PASSED
vsyear = dfYYYY.format(newShowDate),Chrome 77.0.3865.90,,2019-10-05 23:35:51,2019-10-05 23:35:51,0.006s,PASSED
vsmonth = dfMM.format(newShowDate),Chrome 77.0.3865.90,,2019-10-05 23:35:51,2019-10-05 23:35:51,0.003s,PASSED
vsday = dfDD.format(newShowDate),Chrome 77.0.3865.90,,2019-10-05 23:35:51,2019-10-05 23:35:51,0.004s,PASSED
"println(UtilityMethods.concat(""from DTY: "", vsday, "" "", vsmonth, "" "", vsyear))",Chrome 77.0.3865.90,,2019-10-05 23:35:51,2019-10-05 23:35:51,0.308s,PASSED
"callTestCase(findTestCase(""VirtualShow/createAPhysicalShow""), [""BOURL"":"""", ""BOuser"":"""", ""BOpass"":"""", ""hostess"":"""", ""cohostess"":"""", ""vsday"":vsday, ""vsmonth"":vsmonth, ""vsyear"":vsyear], STOP_ON_FAILURE)",Chrome 77.0.3865.90,,2019-10-05 23:35:51,2019-10-05 23:38:27,2m - 36.088s,FAILED
