Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
DashboardSuite,Chrome 76.0.3809.87,,2019-08-05 19:36:12,2019-08-05 19:39:09,2m - 57.728s,FAILED
,,,,,,
Test Cases/VirtualShow/VS_Automation,Chrome 76.0.3809.87,,2019-08-05 19:36:12,2019-08-05 19:39:08,2m - 56.238s,FAILED
Start listener action : sampleBeforeTestCase,Chrome 76.0.3809.87,,2019-08-05 19:36:13,2019-08-05 19:36:13,0.235s,PASSED
"dataFile = ""micrositeData""",Chrome 76.0.3809.87,,2019-08-05 19:36:15,2019-08-05 19:36:15,0.024s,PASSED
"guest1Mail = findTestData(dataFile).getValue(""guest1Mail"", 1)",Chrome 76.0.3809.87,,2019-08-05 19:36:15,2019-08-05 19:36:17,1.869s,PASSED
"guest1Pass = findTestData(dataFile).getValue(""guest1Pass"", 1)",Chrome 76.0.3809.87,,2019-08-05 19:36:17,2019-08-05 19:36:17,0.128s,PASSED
"dataFile = ""virtualShowData""",Chrome 76.0.3809.87,,2019-08-05 19:36:17,2019-08-05 19:36:17,0.001s,PASSED
"hostess = findTestData(dataFile).getValue(""hostess"", 1)",Chrome 76.0.3809.87,,2019-08-05 19:36:17,2019-08-05 19:36:17,0.139s,PASSED
"cohostess = findTestData(dataFile).getValue(""cohostess"", 1)",Chrome 76.0.3809.87,,2019-08-05 19:36:17,2019-08-05 19:36:17,0.141s,PASSED
"guest1 = findTestData(dataFile).getValue(""guest1"", 1)",Chrome 76.0.3809.87,,2019-08-05 19:36:17,2019-08-05 19:36:17,0.081s,PASSED
"guest2 = findTestData(dataFile).getValue(""guest2"", 1)",Chrome 76.0.3809.87,,2019-08-05 19:36:17,2019-08-05 19:36:17,0.058s,PASSED
"RSTestEnvt = findTestData(""envtData"").getValue(""RSTestEnvt"", 1)",Chrome 76.0.3809.87,,2019-08-05 19:36:17,2019-08-05 19:36:17,0.057s,PASSED
