Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
MicrositeTestSuite,Chrome 75.0.3770.100,,2019-06-24 15:55:17,2019-06-24 16:01:38,6m - 21.520s,PASSED
,,,,,,
Test Cases/virtualShowRSVP/createShow,Chrome 75.0.3770.100,,2019-06-24 15:55:17,2019-06-24 15:57:10,1m - 52.673s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 75.0.3770.100,,2019-06-24 15:55:18,2019-06-24 15:55:18,0.236s,PASSED
"dataFile = ""virtualShowData""",Chrome 75.0.3770.100,,2019-06-24 15:55:18,2019-06-24 15:55:18,0.003s,PASSED
"testEnvt = findTestData(dataFile).getValue(""testEnvt"", 1)",Chrome 75.0.3770.100,,2019-06-24 15:55:18,2019-06-24 15:55:19,1.142s,PASSED
"username = findTestData(dataFile).getValue(""username"", 1)",Chrome 75.0.3770.100,,2019-06-24 15:55:19,2019-06-24 15:55:20,0.113s,PASSED
"password = findTestData(dataFile).getValue(""password"", 1)",Chrome 75.0.3770.100,,2019-06-24 15:55:20,2019-06-24 15:55:20,0.080s,PASSED
"stylist = findTestData(dataFile).getValue(""stylist"", 1)",Chrome 75.0.3770.100,,2019-06-24 15:55:20,2019-06-24 15:55:20,0.079s,PASSED
"hostess = findTestData(dataFile).getValue(""hostess"", 1)",Chrome 75.0.3770.100,,2019-06-24 15:55:20,2019-06-24 15:55:20,0.068s,PASSED
"cohostess = findTestData(dataFile).getValue(""cohostess"", 1)",Chrome 75.0.3770.100,,2019-06-24 15:55:20,2019-06-24 15:55:20,0.090s,PASSED
"guest1 = findTestData(dataFile).getValue(""guest1"", 1)",Chrome 75.0.3770.100,,2019-06-24 15:55:20,2019-06-24 15:55:20,0.075s,PASSED
"guest2 = findTestData(dataFile).getValue(""guest2"", 1)",Chrome 75.0.3770.100,,2019-06-24 15:55:20,2019-06-24 15:55:20,0.111s,PASSED
"verifyHostess = findTestData(dataFile).getValue(""verifyHostess"", 1)",Chrome 75.0.3770.100,,2019-06-24 15:55:20,2019-06-24 15:55:20,0.044s,PASSED
"verifyCohostess = findTestData(dataFile).getValue(""verifyCohostess"", 1)",Chrome 75.0.3770.100,,2019-06-24 15:55:20,2019-06-24 15:55:20,0.056s,PASSED
"verifyGuestCount = findTestData(dataFile).getValue(""verifyGuestCount"", 1)",Chrome 75.0.3770.100,,2019-06-24 15:55:20,2019-06-24 15:55:20,0.066s,PASSED
"verifyGuest1 = findTestData(dataFile).getValue(""verifyGuest1"", 1)",Chrome 75.0.3770.100,,2019-06-24 15:55:20,2019-06-24 15:55:20,0.117s,PASSED
"verifyGuest2 = findTestData(dataFile).getValue(""verifyGuest2"", 1)",Chrome 75.0.3770.100,,2019-06-24 15:55:20,2019-06-24 15:55:20,0.109s,PASSED
"cabiTestEnvt = findTestData(dataFile).getValue(""cabiTestEnvt"", 1)",Chrome 75.0.3770.100,,2019-06-24 15:55:20,2019-06-24 15:55:21,0.111s,PASSED
"openBrowser("""")",Chrome 75.0.3770.100,,2019-06-24 15:55:21,2019-06-24 15:55:24,3.904s,PASSED
maximizeWindow(),Chrome 75.0.3770.100,,2019-06-24 15:55:24,2019-06-24 15:55:25,1.039s,PASSED
navigateToUrl(testEnvt),Chrome 75.0.3770.100,,2019-06-24 15:55:25,2019-06-24 15:55:33,7.422s,PASSED
"setText(findTestObject(""Object Repository/virualShowRSVPOR/Page_cabi/input_username""), username)",Chrome 75.0.3770.100,,2019-06-24 15:55:33,2019-06-24 15:55:33,0.193s,PASSED
"setText(findTestObject(""Object Repository/virualShowRSVPOR/Page_cabi/input_password""), password)",Chrome 75.0.3770.100,,2019-06-24 15:55:33,2019-06-24 15:55:33,0.151s,PASSED
"click(findTestObject(""Object Repository/virualShowRSVPOR/Page_cabi/input_consultantLogin""))",Chrome 75.0.3770.100,,2019-06-24 15:55:33,2019-06-24 15:55:47,13.557s,PASSED
delay(10),Chrome 75.0.3770.100,,2019-06-24 15:55:47,2019-06-24 15:55:57,10.044s,PASSED
"verifyElementText(findTestObject(""Object Repository/virualShowRSVPOR/Page_cabi/span_username""), stylist)",Chrome 75.0.3770.100,,2019-06-24 15:55:57,2019-06-24 15:55:57,0.085s,PASSED
"rightClick(findTestObject(""Object Repository/virualShowRSVPOR/Page_cabi Home/a_shows _orders""))",Chrome 75.0.3770.100,,2019-06-24 15:55:57,2019-06-24 15:55:57,0.135s,PASSED
"click(findTestObject(""Object Repository/virualShowRSVPOR/Page_cabi Home/a_Create_A_Show""))",Chrome 75.0.3770.100,,2019-06-24 15:55:57,2019-06-24 15:56:01,4.221s,PASSED
"setText(findTestObject(""Object Repository/virualShowRSVPOR/Page_cabi Create Show - Set Hostess/input_Hostess""), hostess)",Chrome 75.0.3770.100,,2019-06-24 15:56:01,2019-06-24 15:56:02,0.260s,PASSED
"rightClick(findTestObject(""Object Repository/virualShowRSVPOR/Page_cabi Create Show - Set Hostess/input_Hostess""))",Chrome 75.0.3770.100,,2019-06-24 15:56:02,2019-06-24 15:56:02,0.157s,PASSED
"click(findTestObject(""Object Repository/virualShowRSVPOR/Page_cabi Create Show - Set Hostess/a_select_hostess""))",Chrome 75.0.3770.100,,2019-06-24 15:56:02,2019-06-24 15:56:02,0.647s,PASSED
"setText(findTestObject(""Object Repository/virualShowRSVPOR/Page_cabi Create Show - Set Hostess/input_Hostess_Txt""), hostess)",Chrome 75.0.3770.100,,2019-06-24 15:56:02,2019-06-24 15:56:03,0.236s,PASSED
delay(3),Chrome 75.0.3770.100,,2019-06-24 15:56:03,2019-06-24 15:56:06,3.005s,PASSED
"validateHostessAddressMsg = findWebElements(findTestObject(""Object Repository/virualShowRSVPOR/Page_cabi Create Show - Set Hostess/validate_address_msg""), 5)",Chrome 75.0.3770.100,,2019-06-24 15:56:06,2019-06-24 15:56:06,0.057s,PASSED
println(validateHostessAddressMsg.size()),Chrome 75.0.3770.100,,2019-06-24 15:56:06,2019-06-24 15:56:06,0.003s,PASSED
if (validateHostessAddressMsg.isEmpty()),Chrome 75.0.3770.100,,2019-06-24 15:56:06,2019-06-24 15:56:06,0.003s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/virualShowRSVPOR/Page_cabi Create Show - Set Hostess/select_Choose_From_Contacts_Co-Hostess""), ""3"", true)",Chrome 75.0.3770.100,,2019-06-24 15:56:06,2019-06-24 15:56:06,0.363s,PASSED
"setText(findTestObject(""Object Repository/virualShowRSVPOR/Page_cabi Create Show - Set Hostess/input_Cohostess""), cohostess)",Chrome 75.0.3770.100,,2019-06-24 15:56:06,2019-06-24 15:56:06,0.267s,PASSED
"rightClick(findTestObject(""Object Repository/virualShowRSVPOR/Page_cabi Create Show - Set Hostess/input_Cohostess""))",Chrome 75.0.3770.100,,2019-06-24 15:56:06,2019-06-24 15:56:06,0.063s,PASSED
"rightClick(findTestObject(""Object Repository/virualShowRSVPOR/Page_cabi Create Show - Set Hostess/input_Cohostess""))",Chrome 75.0.3770.100,,2019-06-24 15:56:06,2019-06-24 15:56:06,0.080s,PASSED
"click(findTestObject(""Object Repository/virualShowRSVPOR/Page_cabi Create Show - Set Hostess/a_select_cohostess""))",Chrome 75.0.3770.100,,2019-06-24 15:56:06,2019-06-24 15:56:07,0.625s,PASSED
"setText(findTestObject(""Object Repository/virualShowRSVPOR/Page_cabi Create Show - Set Hostess/input_Cohostess""), cohostess)",Chrome 75.0.3770.100,,2019-06-24 15:56:07,2019-06-24 15:56:07,0.286s,PASSED
delay(3),Chrome 75.0.3770.100,,2019-06-24 15:56:07,2019-06-24 15:56:10,3.007s,PASSED
"validateHostessAddressMsg = findWebElements(findTestObject(""Object Repository/virualShowRSVPOR/Page_cabi Create Show - Set Hostess/validate_address_msg""), 5)",Chrome 75.0.3770.100,,2019-06-24 15:56:10,2019-06-24 15:56:10,0.042s,PASSED
if (validateHostessAddressMsg.size() != 4),Chrome 75.0.3770.100,,2019-06-24 15:56:10,2019-06-24 15:56:10,0.001s,PASSED
"click(findTestObject(""Object Repository/virualShowRSVPOR/Page_cabi Create Show - Set Hostess/input_next""))",Chrome 75.0.3770.100,,2019-06-24 15:56:10,2019-06-24 15:56:12,1.851s,PASSED
delay(5),Chrome 75.0.3770.100,,2019-06-24 15:56:12,2019-06-24 15:56:17,5.006s,PASSED
"click(findTestObject(""Object Repository/virualShowRSVPOR/Page_cabi Create Show - Time and Place/check_Virtual_Show""))",Chrome 75.0.3770.100,,2019-06-24 15:56:17,2019-06-24 15:56:17,0.108s,PASSED
"rightClick(findTestObject(""Object Repository/virualShowRSVPOR/Page_cabi Create Show - Time and Place/input_Show_Date_Time""))",Chrome 75.0.3770.100,,2019-06-24 15:56:17,2019-06-24 15:56:17,0.127s,PASSED
"year = findTestData(""virtualShowData"").getValue(""vsyear"", 1)",Chrome 75.0.3770.100,,2019-06-24 15:56:17,2019-06-24 15:56:18,0.050s,PASSED
"month = findTestData(""virtualShowData"").getValue(""vsmonth"", 1)",Chrome 75.0.3770.100,,2019-06-24 15:56:18,2019-06-24 15:56:18,0.052s,PASSED
"day = findTestData(""virtualShowData"").getValue(""vsday"", 1)",Chrome 75.0.3770.100,,2019-06-24 15:56:18,2019-06-24 15:56:18,0.050s,PASSED
"xpath = UtilityMethods.concat(""//td[@data-month='"" + month - 1 + ""' and @data-year='"" + year + ""']/a[contains(text(), '"" + day + ""')]"")",Chrome 75.0.3770.100,,2019-06-24 15:56:18,2019-06-24 15:56:18,0.018s,PASSED
dateObj = new com.kms.katalon.core.testobject.TestObject(td_month_year_day),Chrome 75.0.3770.100,,2019-06-24 15:56:18,2019-06-24 15:56:18,0.017s,PASSED
"dateObj.addProperty(""xpath"", EQUALS, xpath)",Chrome 75.0.3770.100,,2019-06-24 15:56:18,2019-06-24 15:56:18,0.015s,PASSED
monthBound = 12,Chrome 75.0.3770.100,,2019-06-24 15:56:18,2019-06-24 15:56:18,0.001s,PASSED
"dateObjList = findWebElements(dateObj, 5)",Chrome 75.0.3770.100,,2019-06-24 15:56:18,2019-06-24 15:56:23,5.219s,PASSED
while (dateObjList.size() == 0 && monthBound > 0),Chrome 75.0.3770.100,,2019-06-24 15:56:23,2019-06-24 15:56:26,3.178s,PASSED
click(dateObj),Chrome 75.0.3770.100,,2019-06-24 15:56:26,2019-06-24 15:56:26,0.115s,PASSED
"click(findTestObject(""Object Repository/virualShowRSVPOR/Page_cabi Create Show - Time and Place/a_select_End_Time""))",Chrome 75.0.3770.100,,2019-06-24 15:56:26,2019-06-24 15:56:26,0.254s,PASSED
"click(findTestObject(""Object Repository/virualShowRSVPOR/Page_cabi Create Show - Time and Place/input_next""))",Chrome 75.0.3770.100,,2019-06-24 15:56:26,2019-06-24 15:56:27,0.209s,PASSED
delay(5),Chrome 75.0.3770.100,,2019-06-24 15:56:27,2019-06-24 15:56:32,5.006s,PASSED
"click(findTestObject(""Object Repository/virualShowRSVPOR/Page_cabi Create Show - Invite Hostess/input_Skip_Invite""))",Chrome 75.0.3770.100,,2019-06-24 15:56:32,2019-06-24 15:56:37,5.094s,PASSED
"rightClick(findTestObject(""Object Repository/virualShowRSVPOR/Page_cabi Edit Show - Add Guests/contact_search_box""))",Chrome 75.0.3770.100,,2019-06-24 15:56:37,2019-06-24 15:56:37,0.482s,PASSED
"setText(findTestObject(""Object Repository/virualShowRSVPOR/Page_cabi Edit Show - Add Guests/contact_search_box""), guest1)",Chrome 75.0.3770.100,,2019-06-24 15:56:37,2019-06-24 15:56:37,0.158s,PASSED
"click(findTestObject(""Object Repository/virualShowRSVPOR/Page_cabi Edit Show - Add Guests/plus_add_guest""))",Chrome 75.0.3770.100,,2019-06-24 15:56:37,2019-06-24 15:56:37,0.072s,PASSED
"rightClick(findTestObject(""Object Repository/virualShowRSVPOR/Page_cabi Edit Show - Add Guests/plus_add_guest""))",Chrome 75.0.3770.100,,2019-06-24 15:56:37,2019-06-24 15:56:38,0.083s,PASSED
"rightClick(findTestObject(""Object Repository/virualShowRSVPOR/Page_cabi Edit Show - Add Guests/plus_add_guest""))",Chrome 75.0.3770.100,,2019-06-24 15:56:38,2019-06-24 15:56:38,0.104s,PASSED
"click(findTestObject(""Object Repository/virualShowRSVPOR/Page_cabi Edit Show - Add Guests/plus_add_guest""))",Chrome 75.0.3770.100,,2019-06-24 15:56:38,2019-06-24 15:56:38,0.061s,PASSED
delay(5),Chrome 75.0.3770.100,,2019-06-24 15:56:38,2019-06-24 15:56:43,5.003s,PASSED
"click(findTestObject(""Object Repository/virualShowRSVPOR/Page_cabi Edit Show - Add Guests/i_span_add_guest""))",Chrome 75.0.3770.100,,2019-06-24 15:56:43,2019-06-24 15:56:43,0.385s,PASSED
"rightClick(findTestObject(""Object Repository/virualShowRSVPOR/Page_cabi Edit Show - Add Guests/contact_search_box""))",Chrome 75.0.3770.100,,2019-06-24 15:56:43,2019-06-24 15:56:43,0.098s,PASSED
"setText(findTestObject(""Object Repository/virualShowRSVPOR/Page_cabi Edit Show - Add Guests/contact_search_box""), guest2)",Chrome 75.0.3770.100,,2019-06-24 15:56:43,2019-06-24 15:56:43,0.162s,PASSED
"rightClick(findTestObject(""Object Repository/virualShowRSVPOR/Page_cabi Edit Show - Add Guests/contact_search_box""))",Chrome 75.0.3770.100,,2019-06-24 15:56:43,2019-06-24 15:56:44,0.131s,PASSED
"click(findTestObject(""Object Repository/virualShowRSVPOR/Page_cabi Edit Show - Add Guests/plus_add_guest""))",Chrome 75.0.3770.100,,2019-06-24 15:56:44,2019-06-24 15:56:44,0.078s,PASSED
"rightClick(findTestObject(""Object Repository/virualShowRSVPOR/Page_cabi Edit Show - Add Guests/plus_add_guest""))",Chrome 75.0.3770.100,,2019-06-24 15:56:44,2019-06-24 15:56:44,0.100s,PASSED
"rightClick(findTestObject(""Object Repository/virualShowRSVPOR/Page_cabi Edit Show - Add Guests/plus_add_guest""))",Chrome 75.0.3770.100,,2019-06-24 15:56:44,2019-06-24 15:56:44,0.081s,PASSED
"click(findTestObject(""Object Repository/virualShowRSVPOR/Page_cabi Edit Show - Add Guests/plus_add_guest""))",Chrome 75.0.3770.100,,2019-06-24 15:56:44,2019-06-24 15:56:44,0.064s,PASSED
delay(5),Chrome 75.0.3770.100,,2019-06-24 15:56:44,2019-06-24 15:56:49,5.003s,PASSED
"click(findTestObject(""Object Repository/virualShowRSVPOR/Page_cabi Edit Show - Add Guests/i_span_add_guest""))",Chrome 75.0.3770.100,,2019-06-24 15:56:49,2019-06-24 15:56:49,0.371s,PASSED
delay(5),Chrome 75.0.3770.100,,2019-06-24 15:56:49,2019-06-24 15:56:54,5.007s,PASSED
"verifyElementText(findTestObject(""Object Repository/virualShowRSVPOR/Page_cabi Edit Show - Add Guests/span_hostess_name""), verifyHostess)",Chrome 75.0.3770.100,,2019-06-24 15:56:54,2019-06-24 15:56:54,0.067s,PASSED
"verifyElementText(findTestObject(""Object Repository/virualShowRSVPOR/Page_cabi Edit Show - Add Guests/span_cohostess_name""), verifyCohostess)",Chrome 75.0.3770.100,,2019-06-24 15:56:54,2019-06-24 15:56:54,0.044s,PASSED
"listElement = findWebElements(findTestObject(""Object Repository/virualShowRSVPOR/Page_cabi Edit Show - Add Guests/span_guest_name_list""), 5)",Chrome 75.0.3770.100,,2019-06-24 15:56:54,2019-06-24 15:56:54,0.020s,PASSED
guestCount = Integer.parseInt(verifyGuestCount),Chrome 75.0.3770.100,,2019-06-24 15:56:54,2019-06-24 15:56:54,0.002s,PASSED
assert listElement.size() == guestCount,Chrome 75.0.3770.100,,2019-06-24 15:56:54,2019-06-24 15:56:54,0.003s,PASSED
flag = false,Chrome 75.0.3770.100,,2019-06-24 15:56:54,2019-06-24 15:56:54,0.000s,PASSED
