Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
DTYNESuite,Chrome 78.0.3904.70,,2019-11-06 14:42:58,2019-11-06 14:45:22,2m - 23.654s,ERROR
,,,,,,
Test Cases/VirtualShow/BODTY/DTYNotEligible,Chrome 78.0.3904.70,,2019-11-06 14:43:00,2019-11-06 14:45:21,2m - 20.264s,ERROR
Start listener action : sampleBeforeTestCase,Chrome 78.0.3904.70,,2019-11-06 14:43:01,2019-11-06 14:43:02,0.171s,PASSED
sa = new org.testng.asserts.SoftAssert(),Chrome 78.0.3904.70,,2019-11-06 14:43:06,2019-11-06 14:43:06,0.208s,PASSED
"dataFile = ""virtualShowData""",Chrome 78.0.3904.70,,2019-11-06 14:43:06,2019-11-06 14:43:06,0.038s,PASSED
"guest1 = findTestData(dataFile).getValue(""guest1"", 1)",Chrome 78.0.3904.70,,2019-11-06 14:43:06,2019-11-06 14:43:10,3.849s,PASSED
"guest2 = findTestData(dataFile).getValue(""guest2"", 1)",Chrome 78.0.3904.70,,2019-11-06 14:43:10,2019-11-06 14:43:10,0.270s,PASSED
"hostess = findTestData(dataFile).getValue(""hostess"", 1)",Chrome 78.0.3904.70,,2019-11-06 14:43:10,2019-11-06 14:43:11,0.289s,PASSED
"cohostess = findTestData(dataFile).getValue(""cohostess"", 1)",Chrome 78.0.3904.70,,2019-11-06 14:43:11,2019-11-06 14:43:11,0.092s,PASSED
dfMM = new java.text.SimpleDateFormat(MM),Chrome 78.0.3904.70,,2019-11-06 14:43:11,2019-11-06 14:43:11,0.094s,PASSED
dfDD = new java.text.SimpleDateFormat(dd),Chrome 78.0.3904.70,,2019-11-06 14:43:11,2019-11-06 14:43:11,0.002s,PASSED
dfYYYY = new java.text.SimpleDateFormat(yyyy),Chrome 78.0.3904.70,,2019-11-06 14:43:11,2019-11-06 14:43:11,0.003s,PASSED
today = getInstance().getTime(),Chrome 78.0.3904.70,,2019-11-06 14:43:11,2019-11-06 14:43:11,0.263s,PASSED
c = Calendar.getInstance(),Chrome 78.0.3904.70,,2019-11-06 14:43:11,2019-11-06 14:43:11,0.005s,PASSED
c.setTime(today),Chrome 78.0.3904.70,,2019-11-06 14:43:11,2019-11-06 14:43:11,0.004s,PASSED
"c.add(DATE, 3)",Chrome 78.0.3904.70,,2019-11-06 14:43:11,2019-11-06 14:43:11,0.006s,PASSED
newShowDate = c.getTime(),Chrome 78.0.3904.70,,2019-11-06 14:43:11,2019-11-06 14:43:11,0.003s,PASSED
vsyear = dfYYYY.format(newShowDate),Chrome 78.0.3904.70,,2019-11-06 14:43:11,2019-11-06 14:43:11,0.005s,PASSED
vsmonth = dfMM.format(newShowDate),Chrome 78.0.3904.70,,2019-11-06 14:43:11,2019-11-06 14:43:11,0.070s,PASSED
vsday = dfDD.format(newShowDate),Chrome 78.0.3904.70,,2019-11-06 14:43:11,2019-11-06 14:43:11,0.002s,PASSED
"c.add(DATE, -2)",Chrome 78.0.3904.70,,2019-11-06 14:43:11,2019-11-06 14:43:11,0.001s,PASSED
showEligDate = c.getTime(),Chrome 78.0.3904.70,,2019-11-06 14:43:11,2019-11-06 14:43:11,0.007s,PASSED
vsyearElig = dfYYYY.format(showEligDate),Chrome 78.0.3904.70,,2019-11-06 14:43:11,2019-11-06 14:43:11,0.001s,PASSED
vsmonthElig = dfMM.format(showEligDate),Chrome 78.0.3904.70,,2019-11-06 14:43:11,2019-11-06 14:43:11,0.001s,PASSED
vsdayElig = dfDD.format(showEligDate),Chrome 78.0.3904.70,,2019-11-06 14:43:11,2019-11-06 14:43:11,0.001s,PASSED
"println(UtilityMethods.concat(""from DTY: "", vsday, "" "", vsmonth, "" "", vsyear))",Chrome 78.0.3904.70,,2019-11-06 14:43:11,2019-11-06 14:43:11,0.159s,PASSED
"callTestCase(findTestCase(""VirtualShow/createAPhysicalShow""), [""BOURL"":"""", ""BOuser"":"""", ""BOpass"":"""", ""hostess"":"""", ""cohostess"":"""", ""vsday"":vsday, ""vsmonth"":vsmonth, ""vsyear"":vsyear], STOP_ON_FAILURE)",Chrome 78.0.3904.70,,2019-11-06 14:43:11,2019-11-06 14:45:13,2m - 1.921s,PASSED
"click(findTestObject(""Object Repository/virualShowRSVPOR/Page_cabi Edit Show - Send Invitations/a_orders""))",Chrome 78.0.3904.70,,2019-11-06 14:45:13,2019-11-06 14:45:15,1.641s,PASSED
g1Vars = UtilityMethods.splitPersonName(guest1),Chrome 78.0.3904.70,,2019-11-06 14:45:15,2019-11-06 14:45:15,0.001s,PASSED
"g1Var = UtilityMethods.concat(g1Vars[1], "", "", g1Vars[0])",Chrome 78.0.3904.70,,2019-11-06 14:45:15,2019-11-06 14:45:15,0.001s,PASSED
"buttonPlaceOrder = UtilityMethods.createTestObject(""buttoPlaceOrder"", ""//table[@class='show-order-table']/tbody/tr/td/span[contains(text(), '"", g1Var, ""')]/parent::td/following-sibling::td[1]/button"")",Chrome 78.0.3904.70,,2019-11-06 14:45:15,2019-11-06 14:45:15,0.002s,PASSED
click(buttonPlaceOrder),Chrome 78.0.3904.70,,2019-11-06 14:45:15,2019-11-06 14:45:18,2.589s,PASSED
delay(3),Chrome 78.0.3904.70,,2019-11-06 14:45:18,2019-11-06 14:45:21,3.002s,PASSED
"DTYMsg = UtilityMethods.concat(""This order will become eligible for ""Direct to You"" shipping after "", vsmonthElig, ""/"", vsdayElig, ""."")",Chrome 78.0.3904.70,,2019-11-06 14:45:21,2019-11-06 14:45:21,0.001s,PASSED
"println(getText(findTestObject(""Object Repository/virualShowRSVPOR/DTY/label_DtyEligibility"")))",Chrome 78.0.3904.70,,2019-11-06 14:45:21,2019-11-06 14:45:21,0.092s,PASSED
"verifyElementText(findTestObject(""Object Repository/virualShowRSVPOR/DTY/label_DtyEligibility""), DTYMsg, CONTINUE_ON_FAILURE)",Chrome 78.0.3904.70,,2019-11-06 14:45:21,2019-11-06 14:45:21,0.052s,PASSED
"executor.executeScript(""arguments[0].checked=true;"", findWebElement(findTestObject(""Object Repository/Page_cabi Home/a_same_shipping_address""), 10))",Chrome 78.0.3904.70,,2019-11-06 14:45:21,2019-11-06 14:45:21,0.020s,ERROR
