Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
DTYSuite,Chrome 78.0.3904.70,,2019-11-06 14:57:18,2019-11-06 15:00:32,3m - 13.774s,FAILED
,,,,,,
Test Cases/VirtualShow/BODTY/DTY,Chrome 78.0.3904.70,,2019-11-06 14:57:20,2019-11-06 15:00:31,3m - 10.938s,FAILED
Start listener action : sampleBeforeTestCase,Chrome 78.0.3904.70,,2019-11-06 14:57:22,2019-11-06 14:57:23,0.277s,PASSED
"dataFile = ""virtualShowData""",Chrome 78.0.3904.70,,2019-11-06 14:57:26,2019-11-06 14:57:26,0.011s,PASSED
"guest1 = findTestData(dataFile).getValue(""guest1"", 1)",Chrome 78.0.3904.70,,2019-11-06 14:57:26,2019-11-06 14:57:30,3.398s,PASSED
"guest2 = findTestData(dataFile).getValue(""guest2"", 1)",Chrome 78.0.3904.70,,2019-11-06 14:57:30,2019-11-06 14:57:30,0.198s,PASSED
"hostess = findTestData(dataFile).getValue(""hostess"", 1)",Chrome 78.0.3904.70,,2019-11-06 14:57:30,2019-11-06 14:57:30,0.292s,PASSED
"cohostess = findTestData(dataFile).getValue(""cohostess"", 1)",Chrome 78.0.3904.70,,2019-11-06 14:57:30,2019-11-06 14:57:31,0.444s,PASSED
dfMM = new java.text.SimpleDateFormat(MM),Chrome 78.0.3904.70,,2019-11-06 14:57:31,2019-11-06 14:57:31,0.033s,PASSED
dfDD = new java.text.SimpleDateFormat(dd),Chrome 78.0.3904.70,,2019-11-06 14:57:31,2019-11-06 14:57:31,0.005s,PASSED
dfYYYY = new java.text.SimpleDateFormat(yyyy),Chrome 78.0.3904.70,,2019-11-06 14:57:31,2019-11-06 14:57:31,0.006s,PASSED
today = getInstance().getTime(),Chrome 78.0.3904.70,,2019-11-06 14:57:31,2019-11-06 14:57:31,0.061s,PASSED
c = Calendar.getInstance(),Chrome 78.0.3904.70,,2019-11-06 14:57:31,2019-11-06 14:57:31,0.003s,PASSED
c.setTime(today),Chrome 78.0.3904.70,,2019-11-06 14:57:31,2019-11-06 14:57:31,0.003s,PASSED
"c.add(DATE, 2)",Chrome 78.0.3904.70,,2019-11-06 14:57:31,2019-11-06 14:57:31,0.003s,PASSED
newShowDate = c.getTime(),Chrome 78.0.3904.70,,2019-11-06 14:57:31,2019-11-06 14:57:31,0.003s,PASSED
vsyear = dfYYYY.format(newShowDate),Chrome 78.0.3904.70,,2019-11-06 14:57:31,2019-11-06 14:57:31,0.003s,PASSED
