Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
DTYVSNESuite,Chrome 78.0.3904.70,,2019-11-06 14:57:18,2019-11-06 15:00:50,3m - 32.404s,PASSED
,,,,,,
Test Cases/VirtualShow/BODTY/DTYVSNotEligible,Chrome 78.0.3904.70,,2019-11-06 14:57:20,2019-11-06 15:00:50,3m - 29.334s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 78.0.3904.70,,2019-11-06 14:57:21,2019-11-06 14:57:22,1.115s,PASSED
sa = new org.testng.asserts.SoftAssert(),Chrome 78.0.3904.70,,2019-11-06 14:57:26,2019-11-06 14:57:26,0.013s,PASSED
"dataFile = ""virtualShowData""",Chrome 78.0.3904.70,,2019-11-06 14:57:26,2019-11-06 14:57:26,0.009s,PASSED
"guest1 = findTestData(dataFile).getValue(""guest1"", 1)",Chrome 78.0.3904.70,,2019-11-06 14:57:26,2019-11-06 14:57:30,3.705s,PASSED
"guest2 = findTestData(dataFile).getValue(""guest2"", 1)",Chrome 78.0.3904.70,,2019-11-06 14:57:30,2019-11-06 14:57:31,0.529s,PASSED
"hostess = findTestData(dataFile).getValue(""hostess"", 1)",Chrome 78.0.3904.70,,2019-11-06 14:57:31,2019-11-06 14:57:31,0.151s,PASSED
"cohostess = findTestData(dataFile).getValue(""cohostess"", 1)",Chrome 78.0.3904.70,,2019-11-06 14:57:31,2019-11-06 14:57:31,0.123s,PASSED
dfMM = new java.text.SimpleDateFormat(MM),Chrome 78.0.3904.70,,2019-11-06 14:57:31,2019-11-06 14:57:31,0.120s,PASSED
dfDD = new java.text.SimpleDateFormat(dd),Chrome 78.0.3904.70,,2019-11-06 14:57:31,2019-11-06 14:57:31,0.005s,PASSED
dfYYYY = new java.text.SimpleDateFormat(yyyy),Chrome 78.0.3904.70,,2019-11-06 14:57:31,2019-11-06 14:57:31,0.004s,PASSED
today = getInstance().getTime(),Chrome 78.0.3904.70,,2019-11-06 14:57:31,2019-11-06 14:57:31,0.092s,PASSED
c = Calendar.getInstance(),Chrome 78.0.3904.70,,2019-11-06 14:57:31,2019-11-06 14:57:31,0.002s,PASSED
c.setTime(today),Chrome 78.0.3904.70,,2019-11-06 14:57:31,2019-11-06 14:57:31,0.011s,PASSED
"c.add(DATE, 3)",Chrome 78.0.3904.70,,2019-11-06 14:57:31,2019-11-06 14:57:31,0.007s,PASSED
newShowDate = c.getTime(),Chrome 78.0.3904.70,,2019-11-06 14:57:31,2019-11-06 14:57:31,0.004s,PASSED
vsyear = dfYYYY.format(newShowDate),Chrome 78.0.3904.70,,2019-11-06 14:57:31,2019-11-06 14:57:31,0.008s,PASSED
vsmonth = dfMM.format(newShowDate),Chrome 78.0.3904.70,,2019-11-06 14:57:31,2019-11-06 14:57:31,0.002s,PASSED
vsday = dfDD.format(newShowDate),Chrome 78.0.3904.70,,2019-11-06 14:57:31,2019-11-06 14:57:31,0.001s,PASSED
"c.add(DATE, -2)",Chrome 78.0.3904.70,,2019-11-06 14:57:31,2019-11-06 14:57:31,0.007s,PASSED
showEligDate = c.getTime(),Chrome 78.0.3904.70,,2019-11-06 14:57:31,2019-11-06 14:57:31,0.002s,PASSED
vsyearElig = dfYYYY.format(showEligDate),Chrome 78.0.3904.70,,2019-11-06 14:57:31,2019-11-06 14:57:31,0.002s,PASSED
vsmonthElig = dfMM.format(showEligDate),Chrome 78.0.3904.70,,2019-11-06 14:57:31,2019-11-06 14:57:31,0.002s,PASSED
vsdayElig = dfDD.format(showEligDate),Chrome 78.0.3904.70,,2019-11-06 14:57:31,2019-11-06 14:57:31,0.001s,PASSED
"println(UtilityMethods.concat(""from DTY: "", vsday, "" "", vsmonth, "" "", vsyear))",Chrome 78.0.3904.70,,2019-11-06 14:57:31,2019-11-06 14:57:31,0.038s,PASSED
"callTestCase(findTestCase(""VirtualShow/createShow""), [""testEnvt"":"""", ""username"":"""", ""password"":"""", ""stylist"":"""", ""hostess"":"""", ""cohostess"":"""", ""guest1"":"""", ""guest2"":"""", ""verifyHostess"":"""", ... ], CONTINUE_ON_FAILURE)",Chrome 78.0.3904.70,,2019-11-06 14:57:31,2019-11-06 14:59:22,1m - 50.805s,PASSED
