Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
DTYVSSuite,Chrome 78.0.3904.70,,2019-11-06 03:22:34,2019-11-06 03:24:46,2m - 12.192s,FAILED
,,,,,,
Test Cases/VirtualShow/BODTY/DTYVS,Chrome 78.0.3904.70,,2019-11-06 03:22:38,2019-11-06 03:24:45,2m - 7.363s,FAILED
Start listener action : sampleBeforeTestCase,Chrome 78.0.3904.70,,2019-11-06 03:22:41,2019-11-06 03:22:42,0.418s,PASSED
"dataFile = ""virtualShowData""",Chrome 78.0.3904.70,,2019-11-06 03:22:45,2019-11-06 03:22:45,0.002s,PASSED
"guest1 = findTestData(dataFile).getValue(""guest1"", 1)",Chrome 78.0.3904.70,,2019-11-06 03:22:45,2019-11-06 03:22:50,4.281s,PASSED
"guest2 = findTestData(dataFile).getValue(""guest2"", 1)",Chrome 78.0.3904.70,,2019-11-06 03:22:50,2019-11-06 03:22:50,0.277s,PASSED
"hostess = findTestData(dataFile).getValue(""hostess"", 1)",Chrome 78.0.3904.70,,2019-11-06 03:22:50,2019-11-06 03:22:50,0.106s,PASSED
"cohostess = findTestData(dataFile).getValue(""cohostess"", 1)",Chrome 78.0.3904.70,,2019-11-06 03:22:50,2019-11-06 03:22:50,0.140s,PASSED
dfMM = new java.text.SimpleDateFormat(MM),Chrome 78.0.3904.70,,2019-11-06 03:22:50,2019-11-06 03:22:50,0.062s,PASSED
dfDD = new java.text.SimpleDateFormat(dd),Chrome 78.0.3904.70,,2019-11-06 03:22:50,2019-11-06 03:22:50,0.002s,PASSED
dfYYYY = new java.text.SimpleDateFormat(yyyy),Chrome 78.0.3904.70,,2019-11-06 03:22:50,2019-11-06 03:22:50,0.001s,PASSED
today = getInstance().getTime(),Chrome 78.0.3904.70,,2019-11-06 03:22:50,2019-11-06 03:22:50,0.063s,PASSED
c = Calendar.getInstance(),Chrome 78.0.3904.70,,2019-11-06 03:22:50,2019-11-06 03:22:50,0.003s,PASSED
c.setTime(today),Chrome 78.0.3904.70,,2019-11-06 03:22:50,2019-11-06 03:22:50,0.007s,PASSED
"c.add(DATE, 2)",Chrome 78.0.3904.70,,2019-11-06 03:22:50,2019-11-06 03:22:50,0.002s,PASSED
newShowDate = c.getTime(),Chrome 78.0.3904.70,,2019-11-06 03:22:50,2019-11-06 03:22:50,0.002s,PASSED
vsyear = dfYYYY.format(newShowDate),Chrome 78.0.3904.70,,2019-11-06 03:22:50,2019-11-06 03:22:50,0.003s,PASSED
vsmonth = dfMM.format(newShowDate),Chrome 78.0.3904.70,,2019-11-06 03:22:50,2019-11-06 03:22:50,0.001s,PASSED
vsday = dfDD.format(newShowDate),Chrome 78.0.3904.70,,2019-11-06 03:22:50,2019-11-06 03:22:50,0.001s,PASSED
"println(UtilityMethods.concat(""from DTY: "", vsday, "" "", vsmonth, "" "", vsyear))",Chrome 78.0.3904.70,,2019-11-06 03:22:50,2019-11-06 03:22:51,0.145s,PASSED
"callTestCase(findTestCase(""VirtualShow/createShow""), [""testEnvt"":"""", ""username"":"""", ""password"":"""", ""stylist"":"""", ""hostess"":"""", ""cohostess"":"""", ""guest1"":"""", ""guest2"":"""", ""verifyHostess"":"""", ... ], CONTINUE_ON_FAILURE)",Chrome 78.0.3904.70,,2019-11-06 03:22:51,2019-11-06 03:24:35,1m - 44.483s,PASSED
"click(findTestObject(""Object Repository/virualShowRSVPOR/Page_cabi Edit Show - Send Invitations/a_orders""))",Chrome 78.0.3904.70,,2019-11-06 03:24:35,2019-11-06 03:24:38,2.910s,PASSED
g1Vars = UtilityMethods.splitPersonName(guest1),Chrome 78.0.3904.70,,2019-11-06 03:24:38,2019-11-06 03:24:38,0.000s,PASSED
"g1Var = UtilityMethods.concat(g1Vars[1], "", "", g1Vars[0])",Chrome 78.0.3904.70,,2019-11-06 03:24:38,2019-11-06 03:24:38,0.001s,PASSED
"buttonPlaceOrder = UtilityMethods.createTestObject(""buttoPlaceOrder"", ""//table[@class='show-order-table']/tbody/tr/td/span[contains(text(), '"", g1Var, ""')]/parent::td/following-sibling::td[1]/button"")",Chrome 78.0.3904.70,,2019-11-06 03:24:38,2019-11-06 03:24:38,0.001s,PASSED
click(buttonPlaceOrder),Chrome 78.0.3904.70,,2019-11-06 03:24:38,2019-11-06 03:24:42,3.882s,PASSED
delay(3),Chrome 78.0.3904.70,,2019-11-06 03:24:42,2019-11-06 03:24:45,3.007s,PASSED
"DTYMsg = ""Hooray! This order is eligible for ""Direct to You"" shipping.""",Chrome 78.0.3904.70,,2019-11-06 03:24:45,2019-11-06 03:24:45,0.001s,PASSED
"println(getText(findTestObject(""Object Repository/virualShowRSVPOR/DTY/label_DtyEligibility"")))",Chrome 78.0.3904.70,,2019-11-06 03:24:45,2019-11-06 03:24:45,0.071s,PASSED
"verifyElementText(findTestObject(""Object Repository/virualShowRSVPOR/DTY/label_DtyEligibility""), DTYMsg, CONTINUE_ON_FAILURE)",Chrome 78.0.3904.70,,2019-11-06 03:24:45,2019-11-06 03:24:45,0.444s,FAILED
"executor.executeScript(""arguments[0].checked=true;"", findWebElement(findTestObject(""Object Repository/Page_cabi Home/a_same_shipping_address""), 10))",Chrome 78.0.3904.70,,2019-11-06 03:24:45,2019-11-06 03:24:45,0.006s,FAILED
