Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
DTYSuite,Chrome 76.0.3809.132,,2019-09-19 19:37:16,2019-09-19 19:50:38,13m - 22.565s,PASSED
,,,,,,
Test Cases/VirtualShow/BODTY/DTY,Chrome 76.0.3809.132,,2019-09-19 19:37:16,2019-09-19 19:47:40,10m - 23.893s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 76.0.3809.132,,2019-09-19 19:37:17,2019-09-19 19:37:17,0.143s,PASSED
"dataFile = ""virtualShowData""",Chrome 76.0.3809.132,,2019-09-19 19:37:18,2019-09-19 19:37:18,0.017s,PASSED
"guest1 = findTestData(dataFile).getValue(""guest1"", 1)",Chrome 76.0.3809.132,,2019-09-19 19:37:18,2019-09-19 19:37:20,1.685s,PASSED
"guest2 = findTestData(dataFile).getValue(""guest2"", 1)",Chrome 76.0.3809.132,,2019-09-19 19:37:20,2019-09-19 19:37:20,0.085s,PASSED
"hostess = findTestData(dataFile).getValue(""hostess"", 1)",Chrome 76.0.3809.132,,2019-09-19 19:37:20,2019-09-19 19:37:20,0.074s,PASSED
"cohostess = findTestData(dataFile).getValue(""cohostess"", 1)",Chrome 76.0.3809.132,,2019-09-19 19:37:20,2019-09-19 19:37:20,0.068s,PASSED
dfMM = new java.text.SimpleDateFormat(MM),Chrome 76.0.3809.132,,2019-09-19 19:37:20,2019-09-19 19:37:20,0.033s,PASSED
dfDD = new java.text.SimpleDateFormat(dd),Chrome 76.0.3809.132,,2019-09-19 19:37:20,2019-09-19 19:37:20,0.001s,PASSED
dfYYYY = new java.text.SimpleDateFormat(yyyy),Chrome 76.0.3809.132,,2019-09-19 19:37:20,2019-09-19 19:37:20,0.002s,PASSED
today = getInstance().getTime(),Chrome 76.0.3809.132,,2019-09-19 19:37:20,2019-09-19 19:37:20,0.037s,PASSED
c = Calendar.getInstance(),Chrome 76.0.3809.132,,2019-09-19 19:37:20,2019-09-19 19:37:20,0.001s,PASSED
c.setTime(today),Chrome 76.0.3809.132,,2019-09-19 19:37:20,2019-09-19 19:37:20,0.003s,PASSED
"c.add(DATE, 2)",Chrome 76.0.3809.132,,2019-09-19 19:37:20,2019-09-19 19:37:20,0.010s,PASSED
newShowDate = c.getTime(),Chrome 76.0.3809.132,,2019-09-19 19:37:20,2019-09-19 19:37:20,0.007s,PASSED
vsyear = dfYYYY.format(newShowDate),Chrome 76.0.3809.132,,2019-09-19 19:37:20,2019-09-19 19:37:20,0.003s,PASSED
vsmonth = dfMM.format(newShowDate),Chrome 76.0.3809.132,,2019-09-19 19:37:20,2019-09-19 19:37:20,0.001s,PASSED
vsday = dfDD.format(newShowDate),Chrome 76.0.3809.132,,2019-09-19 19:37:20,2019-09-19 19:37:20,0.001s,PASSED
"println(UtilityMethods.concat(""from DTY: "", vsday, "" "", vsmonth, "" "", vsyear))",Chrome 76.0.3809.132,,2019-09-19 19:37:20,2019-09-19 19:37:21,0.018s,PASSED
"callTestCase(findTestCase(""VirtualShow/createAPhysicalShow""), [""BOURL"":"""", ""BOuser"":"""", ""BOpass"":"""", ""hostess"":"""", ""cohostess"":"""", ""vsday"":vsday, ""vsmonth"":vsmonth, ""vsyear"":vsyear], STOP_ON_FAILURE)",Chrome 76.0.3809.132,,2019-09-19 19:37:21,2019-09-19 19:38:54,1m - 33.274s,PASSED
"click(findTestObject(""Object Repository/virualShowRSVPOR/Page_cabi Edit Show - Send Invitations/a_orders""))",Chrome 76.0.3809.132,,2019-09-19 19:38:54,2019-09-19 19:38:55,1.648s,PASSED
g1Vars = UtilityMethods.splitPersonName(guest1),Chrome 76.0.3809.132,,2019-09-19 19:38:55,2019-09-19 19:38:55,0.000s,PASSED
"g1Var = UtilityMethods.concat(g1Vars[1], "", "", g1Vars[0])",Chrome 76.0.3809.132,,2019-09-19 19:38:55,2019-09-19 19:38:55,0.001s,PASSED
"buttonPlaceOrder = UtilityMethods.createTestObject(""buttoPlaceOrder"", ""//table[@class='show-order-table']/tbody/tr/td/span[contains(text(), '"", g1Var, ""')]/parent::td/following-sibling::td[1]/button"")",Chrome 76.0.3809.132,,2019-09-19 19:38:55,2019-09-19 19:38:55,0.004s,PASSED
click(buttonPlaceOrder),Chrome 76.0.3809.132,,2019-09-19 19:38:55,2019-09-19 19:38:58,2.683s,PASSED
delay(3),Chrome 76.0.3809.132,,2019-09-19 19:38:58,2019-09-19 19:39:01,3.008s,PASSED
"DTYMsg = ""Hooray! This order is eligible for ""Direct to You"" shipping.""",Chrome 76.0.3809.132,,2019-09-19 19:39:01,2019-09-19 19:39:01,0.002s,PASSED
"println(getText(findTestObject(""Object Repository/virualShowRSVPOR/DTY/label_DtyEligibility"")))",Chrome 76.0.3809.132,,2019-09-19 19:39:01,2019-09-19 19:39:01,0.086s,PASSED
"verifyElementText(findTestObject(""Object Repository/virualShowRSVPOR/DTY/label_DtyEligibility""), DTYMsg, CONTINUE_ON_FAILURE)",Chrome 76.0.3809.132,,2019-09-19 19:39:01,2019-09-19 19:39:01,0.046s,PASSED
"check(findTestObject(""Object Repository/Page_cabi Home/a_same_shipping_address""))",Chrome 76.0.3809.132,,2019-09-19 19:39:01,2019-09-19 19:39:01,0.048s,PASSED
delay(3),Chrome 76.0.3809.132,,2019-09-19 19:39:01,2019-09-19 19:39:04,3.008s,PASSED
driver = getWebDriver(),Chrome 76.0.3809.132,,2019-09-19 19:39:04,2019-09-19 19:39:04,0.002s,PASSED
executor = driver,Chrome 76.0.3809.132,,2019-09-19 19:39:04,2019-09-19 19:39:04,0.002s,PASSED
