Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
DTYSuite,Chrome 78.0.3904.70,,2019-11-06 05:05:55,2019-11-06 05:14:27,8m - 31.510s,FAILED
,,,,,,
Test Cases/VirtualShow/BODTY/DTY,Chrome 78.0.3904.70,,2019-11-06 05:05:56,2019-11-06 05:08:28,2m - 32.403s,FAILED
Start listener action : sampleBeforeTestCase,Chrome 78.0.3904.70,,2019-11-06 05:05:57,2019-11-06 05:05:57,0.080s,PASSED
"dataFile = ""virtualShowData""",Chrome 78.0.3904.70,,2019-11-06 05:05:58,2019-11-06 05:05:58,0.001s,PASSED
"guest1 = findTestData(dataFile).getValue(""guest1"", 1)",Chrome 78.0.3904.70,,2019-11-06 05:05:58,2019-11-06 05:06:00,1.769s,PASSED
"guest2 = findTestData(dataFile).getValue(""guest2"", 1)",Chrome 78.0.3904.70,,2019-11-06 05:06:00,2019-11-06 05:06:00,0.083s,PASSED
"hostess = findTestData(dataFile).getValue(""hostess"", 1)",Chrome 78.0.3904.70,,2019-11-06 05:06:00,2019-11-06 05:06:00,0.078s,PASSED
"cohostess = findTestData(dataFile).getValue(""cohostess"", 1)",Chrome 78.0.3904.70,,2019-11-06 05:06:00,2019-11-06 05:06:00,0.065s,PASSED
dfMM = new java.text.SimpleDateFormat(MM),Chrome 78.0.3904.70,,2019-11-06 05:06:00,2019-11-06 05:06:00,0.020s,PASSED
dfDD = new java.text.SimpleDateFormat(dd),Chrome 78.0.3904.70,,2019-11-06 05:06:00,2019-11-06 05:06:00,0.003s,PASSED
dfYYYY = new java.text.SimpleDateFormat(yyyy),Chrome 78.0.3904.70,,2019-11-06 05:06:00,2019-11-06 05:06:00,0.002s,PASSED
today = getInstance().getTime(),Chrome 78.0.3904.70,,2019-11-06 05:06:00,2019-11-06 05:06:00,0.032s,PASSED
c = Calendar.getInstance(),Chrome 78.0.3904.70,,2019-11-06 05:06:00,2019-11-06 05:06:00,0.001s,PASSED
c.setTime(today),Chrome 78.0.3904.70,,2019-11-06 05:06:00,2019-11-06 05:06:00,0.002s,PASSED
"c.add(DATE, 2)",Chrome 78.0.3904.70,,2019-11-06 05:06:00,2019-11-06 05:06:00,0.003s,PASSED
newShowDate = c.getTime(),Chrome 78.0.3904.70,,2019-11-06 05:06:00,2019-11-06 05:06:00,0.004s,PASSED
