Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
DashboardSuite,Chrome 77.0.3865.120,,2019-10-23 06:40:16,2019-10-23 06:41:11,55.094s,FAILED
,,,,,,
Test Cases/VirtualShow/newUserRegistrationRS,Chrome 77.0.3865.120,,2019-10-23 06:40:16,2019-10-23 06:41:10,53.960s,FAILED
Start listener action : sampleBeforeTestCase,Chrome 77.0.3865.120,,2019-10-23 06:40:18,2019-10-23 06:40:18,0.044s,PASSED
"RSURL = findTestData(""envtData"").getValue(""RSURL"", 1)",Chrome 77.0.3865.120,/**********Faker initialization for Random Names********************/,2019-10-23 06:40:19,2019-10-23 06:40:20,0.116s,PASSED
"RSuser = findTestData(""credData"").getValue(""RSuser"", 1)",Chrome 77.0.3865.120,,2019-10-23 06:40:20,2019-10-23 06:40:20,0.077s,PASSED
"RSTestEnvt = findTestData(""envtData"").getValue(""RSTestEnvt"", 1)",Chrome 77.0.3865.120,,2019-10-23 06:40:20,2019-10-23 06:40:20,0.067s,PASSED
faker = new com.github.javafaker.Faker(),Chrome 77.0.3865.120,,2019-10-23 06:40:20,2019-10-23 06:40:20,0.535s,PASSED
name = name().fullName(),Chrome 77.0.3865.120,,2019-10-23 06:40:20,2019-10-23 06:40:20,0.007s,PASSED
firstName = name.firstName(),Chrome 77.0.3865.120,,2019-10-23 06:40:20,2019-10-23 06:40:20,0.000s,PASSED
lastName = name().lastName(),Chrome 77.0.3865.120,,2019-10-23 06:40:20,2019-10-23 06:40:20,0.000s,PASSED
email = internet.emailAddress(),Chrome 77.0.3865.120,,2019-10-23 06:40:20,2019-10-23 06:40:20,0.034s,PASSED
"openBrowser("""")",Chrome 77.0.3865.120,,2019-10-23 06:40:20,2019-10-23 06:40:25,4.419s,PASSED
maximizeWindow(),Chrome 77.0.3865.120,,2019-10-23 06:40:25,2019-10-23 06:40:26,1.049s,PASSED
"callTestCase(findTestCase(""TestCaseUtilities/setVHost""), [:], CONTINUE_ON_FAILURE)",Chrome 77.0.3865.120,/**********Setting Vhost********************/,2019-10-23 06:40:26,2019-10-23 06:40:37,11.511s,PASSED
navigateToUrl(RSURL),Chrome 77.0.3865.120,,2019-10-23 06:40:37,2019-10-23 06:40:52,14.533s,PASSED
"loginURL = UtilityMethods.concat(""https://mirandakate."", RSTestEnvt, "".com/?component=account.login-gateway"")",Chrome 77.0.3865.120,/**********Creating login on RS for new user********************/,2019-10-23 06:40:52,2019-10-23 06:40:52,0.002s,PASSED
navigateToUrl(loginURL),Chrome 77.0.3865.120,,2019-10-23 06:40:52,2019-10-23 06:41:10,18.508s,FAILED
