Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
MicrositeRSVPSuite,Chrome 76.0.3809.132,,2019-09-13 17:33:50,2019-09-13 17:37:10,3m - 20.656s,PASSED
,,,,,,
Test Cases/VirtualShow/newUserRegistrationRS,Chrome 76.0.3809.132,,2019-09-13 17:33:50,2019-09-13 17:37:09,3m - 19.191s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 76.0.3809.132,,2019-09-13 17:33:52,2019-09-13 17:33:52,0.073s,PASSED
"RSURL = findTestData(""envtData"").getValue(""RSURL"", 1)",Chrome 76.0.3809.132,/**********Faker initialization for Random Names********************/,2019-09-13 17:33:53,2019-09-13 17:33:53,0.131s,PASSED
"RSuser = findTestData(""credData"").getValue(""RSuser"", 1)",Chrome 76.0.3809.132,,2019-09-13 17:33:53,2019-09-13 17:33:53,0.072s,PASSED
"RSTestEnvt = findTestData(""envtData"").getValue(""RSTestEnvt"", 1)",Chrome 76.0.3809.132,,2019-09-13 17:33:53,2019-09-13 17:33:53,0.069s,PASSED
faker = new com.github.javafaker.Faker(),Chrome 76.0.3809.132,,2019-09-13 17:33:53,2019-09-13 17:33:54,0.514s,PASSED
name = name().fullName(),Chrome 76.0.3809.132,,2019-09-13 17:33:54,2019-09-13 17:33:54,0.015s,PASSED
firstName = name.firstName(),Chrome 76.0.3809.132,,2019-09-13 17:33:54,2019-09-13 17:33:54,0.004s,PASSED
lastName = name().lastName(),Chrome 76.0.3809.132,,2019-09-13 17:33:54,2019-09-13 17:33:54,0.004s,PASSED
email = internet.emailAddress(),Chrome 76.0.3809.132,,2019-09-13 17:33:54,2019-09-13 17:33:54,0.025s,PASSED
"openBrowser("""")",Chrome 76.0.3809.132,,2019-09-13 17:33:54,2019-09-13 17:33:59,5.696s,PASSED
maximizeWindow(),Chrome 76.0.3809.132,,2019-09-13 17:33:59,2019-09-13 17:34:01,1.082s,PASSED
"callTestCase(findTestCase(""TestCaseUtilities/setVHost""), [:], CONTINUE_ON_FAILURE)",Chrome 76.0.3809.132,/**********Setting Vhost********************/,2019-09-13 17:34:01,2019-09-13 17:34:14,13.592s,PASSED
navigateToUrl(RSURL),Chrome 76.0.3809.132,,2019-09-13 17:34:14,2019-09-13 17:34:41,27.090s,PASSED
"loginURL = UtilityMethods.concat(""https://mirandakate."", RSTestEnvt, "".com/?component=account.login-gateway"")",Chrome 76.0.3809.132,/**********Creating login on RS for new user********************/,2019-09-13 17:34:41,2019-09-13 17:34:41,0.003s,PASSED
navigateToUrl(loginURL),Chrome 76.0.3809.132,,2019-09-13 17:34:41,2019-09-13 17:34:50,8.718s,PASSED
"setText(findTestObject(""ReplicatedSite/rs_Page_Trendy/input_Sign in  Create account_email""), email)",Chrome 76.0.3809.132,,2019-09-13 17:34:50,2019-09-13 17:34:53,2.771s,PASSED
"click(findTestObject(""ReplicatedSite/rs_Page_Trendy/button_Continue""))",Chrome 76.0.3809.132,,2019-09-13 17:34:53,2019-09-13 17:34:53,0.267s,PASSED
delay(5),Chrome 76.0.3809.132,,2019-09-13 17:34:53,2019-09-13 17:34:58,5.026s,PASSED
"click(findTestObject(""ReplicatedSite/rsNewUser/rsFirstName""))",Chrome 76.0.3809.132,,2019-09-13 17:34:58,2019-09-13 17:34:58,0.267s,PASSED
"setText(findTestObject(""ReplicatedSite/rsNewUser/rsFirstName""), firstName)",Chrome 76.0.3809.132,,2019-09-13 17:34:58,2019-09-13 17:34:59,0.443s,PASSED
"setText(findTestObject(""ReplicatedSite/rsNewUser/rsLastName""), lastName)",Chrome 76.0.3809.132,,2019-09-13 17:34:59,2019-09-13 17:34:59,0.573s,PASSED
"setText(findTestObject(""ReplicatedSite/rsNewUser/rsPassword""), ""blackdress19"")",Chrome 76.0.3809.132,,2019-09-13 17:34:59,2019-09-13 17:35:00,0.586s,PASSED
"setText(findTestObject(""ReplicatedSite/rsNewUser/rsConfirmPassword""), ""blackdress19"")",Chrome 76.0.3809.132,,2019-09-13 17:35:00,2019-09-13 17:35:00,0.593s,PASSED
"click(findTestObject(""ReplicatedSite/rsNewUser/noThanksLabel""))",Chrome 76.0.3809.132,,2019-09-13 17:35:00,2019-09-13 17:35:01,0.269s,PASSED
"click(findTestObject(""ReplicatedSite/rsNewUser/continueButton""))",Chrome 76.0.3809.132,,2019-09-13 17:35:01,2019-09-13 17:35:01,0.331s,PASSED
delay(5),Chrome 76.0.3809.132,,2019-09-13 17:35:01,2019-09-13 17:35:06,5.010s,PASSED
driver = getWebDriver(),Chrome 76.0.3809.132,,2019-09-13 17:35:06,2019-09-13 17:35:06,0.036s,PASSED
executor = driver,Chrome 76.0.3809.132,,2019-09-13 17:35:06,2019-09-13 17:35:06,0.073s,PASSED
"executor.executeScript(""arguments[0].click();"", findWebElement(findTestObject(""ReplicatedSite/rsNewUser/gotItThanks""), 5))",Chrome 76.0.3809.132,,2019-09-13 17:35:06,2019-09-13 17:35:06,0.179s,PASSED
"click(findTestObject(""ReplicatedSite/rsNewUser/setUpMyProfile""))",Chrome 76.0.3809.132,,2019-09-13 17:35:06,2019-09-13 17:35:17,10.738s,PASSED
"waitForElementClickable(findTestObject(""ReplicatedSite/rsNewUser/dressOftenOption""), 5)",Chrome 76.0.3809.132,,2019-09-13 17:35:17,2019-09-13 17:35:18,0.716s,PASSED
delay(3),Chrome 76.0.3809.132,,2019-09-13 17:35:18,2019-09-13 17:35:21,3.006s,PASSED
"click(findTestObject(""ReplicatedSite/rsNewUser/dressOftenOption""))",Chrome 76.0.3809.132,,2019-09-13 17:35:21,2019-09-13 17:35:21,0.225s,PASSED
"click(findTestObject(""Object Repository/ReplicatedSite/rsNewUser/dressStyle""))",Chrome 76.0.3809.132,,2019-09-13 17:35:21,2019-09-13 17:35:21,0.249s,PASSED
"click(findTestObject(""Object Repository/ReplicatedSite/rsNewUser/dressShape""))",Chrome 76.0.3809.132,,2019-09-13 17:35:21,2019-09-13 17:35:22,0.321s,PASSED
"click(findTestObject(""Object Repository/ReplicatedSite/rsNewUser/dressAccentuate""))",Chrome 76.0.3809.132,,2019-09-13 17:35:22,2019-09-13 17:35:22,0.230s,PASSED
"click(findTestObject(""Object Repository/ReplicatedSite/rsNewUser/dislikeColors""))",Chrome 76.0.3809.132,,2019-09-13 17:35:22,2019-09-13 17:35:22,0.277s,PASSED
"click(findTestObject(""Object Repository/ReplicatedSite/rsNewUser/dislikePatterns""))",Chrome 76.0.3809.132,,2019-09-13 17:35:22,2019-09-13 17:35:22,0.221s,PASSED
"click(findTestObject(""Object Repository/ReplicatedSite/rsNewUser/continueButtonStyleForm""))",Chrome 76.0.3809.132,,2019-09-13 17:35:22,2019-09-13 17:35:23,0.213s,PASSED
