Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
EditOrderTestSuit,Chrome 75.0.3770.100,,2019-06-21 16:26:18,2019-06-21 16:45:38,19m - 20.773s,PASSED
,,,,,,
Test Cases/editOrder/rsEditOrderSimple,Chrome 75.0.3770.100,,2019-06-21 16:26:18,2019-06-21 16:30:44,4m - 26.278s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 75.0.3770.100,,2019-06-21 16:26:18,2019-06-21 16:26:18,0.043s,PASSED
"callTestCase(findTestCase(""editOrder/retailOrderBO""), [""editScenarioNumber"":1], STOP_ON_FAILURE)",Chrome 75.0.3770.100,,2019-06-21 16:26:18,2019-06-21 16:28:18,2m - 0.153s,PASSED
delay(10),Chrome 75.0.3770.100,,2019-06-21 16:28:18,2019-06-21 16:28:28,10.000s,PASSED
"callTestCase(findTestCase(""virtualShowRSVP/setVHost""), [:], STOP_ON_FAILURE)",Chrome 75.0.3770.100,,2019-06-21 16:28:28,2019-06-21 16:28:37,8.743s,PASSED
"callTestCase(findTestCase(""editOrder/rsLogin""), [""RSURL"":"""", ""RSuser"":"""", ""RSpass"":""""], STOP_ON_FAILURE)",Chrome 75.0.3770.100,,2019-06-21 16:28:37,2019-06-21 16:29:19,41.828s,PASSED
"callTestCase(findTestCase(""editOrder/rsOrderHistoryConfirm""), [""orderID"":"""", ""editScenarioNumber"":1], STOP_ON_FAILURE)",Chrome 75.0.3770.100,,2019-06-21 16:29:19,2019-06-21 16:30:44,1m - 25.197s,PASSED
,,,,,,
Test Cases/editOrder/rsEditOrderDonation,Chrome 75.0.3770.100,,2019-06-21 16:30:44,2019-06-21 16:34:20,3m - 35.624s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 75.0.3770.100,,2019-06-21 16:30:44,2019-06-21 16:30:44,0.001s,PASSED
"callTestCase(findTestCase(""editOrder/retailOrderBO""), [""editScenarioNumber"":4], STOP_ON_FAILURE)",Chrome 75.0.3770.100,,2019-06-21 16:30:44,2019-06-21 16:32:45,2m - 0.443s,PASSED
delay(10),Chrome 75.0.3770.100,,2019-06-21 16:32:45,2019-06-21 16:32:55,10.003s,PASSED
"callTestCase(findTestCase(""virtualShowRSVP/setVHost""), [:], STOP_ON_FAILURE)",Chrome 75.0.3770.100,,2019-06-21 16:32:55,2019-06-21 16:33:04,9.575s,PASSED
