Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
EditOrderTestSuit,Chrome 75.0.3770.100,,2019-06-20 14:06:58,2019-06-20 14:21:36,14m - 37.805s,FAILED
,,,,,,
Test Cases/editOrder/rsEditOrderDonation,Chrome 75.0.3770.100,,2019-06-20 14:06:59,2019-06-20 14:10:36,3m - 37.615s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 75.0.3770.100,,2019-06-20 14:06:59,2019-06-20 14:06:59,0.031s,PASSED
"callTestCase(findTestCase(""editOrder/retailOrderBO""), [""editScenarioNumber"":4], STOP_ON_FAILURE)",Chrome 75.0.3770.100,,2019-06-20 14:06:59,2019-06-20 14:09:04,2m - 5.269s,PASSED
delay(10),Chrome 75.0.3770.100,,2019-06-20 14:09:04,2019-06-20 14:09:14,10.002s,PASSED
"callTestCase(findTestCase(""virtualShowRSVP/setVHost""), [:], STOP_ON_FAILURE)",Chrome 75.0.3770.100,,2019-06-20 14:09:14,2019-06-20 14:09:24,9.616s,PASSED
"callTestCase(findTestCase(""editOrder/rsLogin""), [""RSURL"":"""", ""RSuser"":"""", ""RSpass"":""""], STOP_ON_FAILURE)",Chrome 75.0.3770.100,,2019-06-20 14:09:24,2019-06-20 14:10:09,44.699s,PASSED
"callTestCase(findTestCase(""editOrder/rsOrderHistoryConfirm""), [""orderID"":"""", ""editScenarioNumber"":4], STOP_ON_FAILURE)",Chrome 75.0.3770.100,,2019-06-20 14:10:09,2019-06-20 14:10:36,27.552s,PASSED
,,,,,,
Test Cases/editOrder/rsEditOrderGiftCard,Chrome 75.0.3770.100,,2019-06-20 14:10:36,2019-06-20 14:13:08,2m - 31.756s,FAILED
Start listener action : sampleBeforeTestCase,Chrome 75.0.3770.100,,2019-06-20 14:10:36,2019-06-20 14:10:36,0.002s,PASSED
"callTestCase(findTestCase(""editOrder/retailOrderBO""), [""editScenarioNumber"":3], STOP_ON_FAILURE)",Chrome 75.0.3770.100,,2019-06-20 14:10:36,2019-06-20 14:13:08,2m - 31.546s,FAILED
,,,,,,
Test Cases/editOrder/rsEditOrderPartialShip,Chrome 75.0.3770.100,,2019-06-20 14:13:08,2019-06-20 14:15:08,2m - 0.157s,FAILED
Start listener action : sampleBeforeTestCase,Chrome 75.0.3770.100,,2019-06-20 14:13:08,2019-06-20 14:13:08,0.002s,PASSED
"callTestCase(findTestCase(""editOrder/retailOrderBO""), [""editScenarioNumber"":5], STOP_ON_FAILURE)",Chrome 75.0.3770.100,,2019-06-20 14:13:08,2019-06-20 14:15:08,1m - 59.841s,FAILED
,,,,,,
Test Cases/editOrder/rsEditOrderRS,Chrome 75.0.3770.100,,2019-06-20 14:15:08,2019-06-20 14:17:53,2m - 44.734s,FAILED
Start listener action : sampleBeforeTestCase,Chrome 75.0.3770.100,,2019-06-20 14:15:08,2019-06-20 14:15:08,0.001s,PASSED
"openBrowser("""")",Chrome 75.0.3770.100,,2019-06-20 14:15:08,2019-06-20 14:15:11,2.965s,PASSED
"callTestCase(findTestCase(""virtualShowRSVP/setVHost""), [:], STOP_ON_FAILURE)",Chrome 75.0.3770.100,,2019-06-20 14:15:11,2019-06-20 14:15:20,8.598s,PASSED
"callTestCase(findTestCase(""editOrder/retailOrderRS""), [""addOnStyle"":""""], STOP_ON_FAILURE)",Chrome 75.0.3770.100,,2019-06-20 14:15:20,2019-06-20 14:17:53,2m - 32.880s,FAILED
,,,,,,
Test Cases/editOrder/rsEditOrderSimple,Chrome 75.0.3770.100,,2019-06-20 14:17:53,2019-06-20 14:21:35,3m - 42.036s,FAILED
Start listener action : sampleBeforeTestCase,Chrome 75.0.3770.100,,2019-06-20 14:17:53,2019-06-20 14:17:53,0.001s,PASSED
"callTestCase(findTestCase(""editOrder/retailOrderBO""), [""editScenarioNumber"":1], STOP_ON_FAILURE)",Chrome 75.0.3770.100,,2019-06-20 14:17:53,2019-06-20 14:19:57,2m - 3.914s,PASSED
delay(10),Chrome 75.0.3770.100,,2019-06-20 14:19:57,2019-06-20 14:20:07,10.003s,PASSED
"callTestCase(findTestCase(""virtualShowRSVP/setVHost""), [:], STOP_ON_FAILURE)",Chrome 75.0.3770.100,,2019-06-20 14:20:07,2019-06-20 14:20:16,9.164s,PASSED
"callTestCase(findTestCase(""editOrder/rsLogin""), [""RSURL"":"""", ""RSuser"":"""", ""RSpass"":""""], STOP_ON_FAILURE)",Chrome 75.0.3770.100,,2019-06-20 14:20:16,2019-06-20 14:21:04,48.007s,PASSED
"callTestCase(findTestCase(""editOrder/rsOrderHistoryConfirm""), [""orderID"":"""", ""editScenarioNumber"":1], STOP_ON_FAILURE)",Chrome 75.0.3770.100,,2019-06-20 14:21:04,2019-06-20 14:21:35,30.697s,FAILED
