Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuiteFor_NewArrival,Chrome 73.0.3683.103,,2019-04-22 12:27:55,2019-04-22 12:29:38,1m - 43.153s,PASSED
,,,,,,
Test Cases/NewArrivals,Chrome 73.0.3683.103,,2019-04-22 12:27:56,2019-04-22 12:29:38,1m - 42.127s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 73.0.3683.103,,2019-04-22 12:27:56,2019-04-22 12:27:56,0.066s,PASSED
"openBrowser("""")",Chrome 73.0.3683.103,,2019-04-22 12:27:57,2019-04-22 12:28:00,3.330s,PASSED
navigateToUrl(CabiUrl),Chrome 73.0.3683.103,,2019-04-22 12:28:00,2019-04-22 12:28:07,7.327s,PASSED
maximizeWindow(),Chrome 73.0.3683.103,,2019-04-22 12:28:07,2019-04-22 12:28:09,1.171s,PASSED
"setText(findTestObject(""Page_cabi/input_Welcome to_USERNAME""), Username)",Chrome 73.0.3683.103,,2019-04-22 12:28:09,2019-04-22 12:28:09,0.169s,PASSED
"setText(findTestObject(""Object Repository/Page_cabi/input_Welcome to_PASSWORD""), Password)",Chrome 73.0.3683.103,,2019-04-22 12:28:09,2019-04-22 12:28:09,0.108s,PASSED
"click(findTestObject(""Object Repository/Page_cabi/input_Welcome to_consultantLogin""))",Chrome 73.0.3683.103,,2019-04-22 12:28:09,2019-04-22 12:28:18,8.686s,PASSED
"click(findTestObject(""Object Repository/Page_cabi Home/a_Shows  Orders""))",Chrome 73.0.3683.103,,2019-04-22 12:28:18,2019-04-22 12:28:18,0.103s,PASSED
"click(findTestObject(""Object Repository/Page_cabi Home/a_Personal Purchases""))",Chrome 73.0.3683.103,,2019-04-22 12:28:18,2019-04-22 12:28:23,5.339s,PASSED
"click(findTestObject(""Object Repository/Page_cabi Personal Store/span_Continue to Order""))",Chrome 73.0.3683.103,,2019-04-22 12:28:23,2019-04-22 12:28:23,0.341s,PASSED
"for ([row = 1, row <= findTestData(""New Test Data"").getRowNumbers(), (row++)])",Chrome 73.0.3683.103,,2019-04-22 12:28:23,2019-04-22 12:29:38,1m - 14.366s,PASSED
