Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
MicrositeTestSuite,Chrome 74.0.3729.169,,2019-06-11 13:26:38,2019-06-11 13:30:55,4m - 17.536s,FAILED
,,,,,,
Test Cases/virtualShowRSVP/micrositeRSVPValidUser,Chrome 74.0.3729.169,,2019-06-11 13:26:38,2019-06-11 13:30:55,4m - 16.226s,FAILED
Start listener action : sampleBeforeTestCase,Chrome 74.0.3729.169,,2019-06-11 13:26:38,2019-06-11 13:26:39,0.075s,PASSED
"openBrowser("""")",Chrome 74.0.3729.169,,2019-06-11 13:26:39,2019-06-11 13:26:44,4.671s,PASSED
maximizeWindow(),Chrome 74.0.3729.169,,2019-06-11 13:26:44,2019-06-11 13:26:45,1.242s,PASSED
navigateToUrl(ofbizURL),Chrome 74.0.3729.169,,2019-06-11 13:26:45,2019-06-11 13:26:47,1.812s,PASSED
"setText(findTestObject(""Object Repository/virualShowRSVPOR/Page_/input_Username_username""), ofbizUser)",Chrome 74.0.3729.169,,2019-06-11 13:26:47,2019-06-11 13:26:47,0.261s,PASSED
"setText(findTestObject(""Object Repository/virualShowRSVPOR/Page_/input_Password_password""), ofbizPass)",Chrome 74.0.3729.169,,2019-06-11 13:26:47,2019-06-11 13:26:47,0.219s,PASSED
"click(findTestObject(""Object Repository/virualShowRSVPOR/Page_/input_Password_Submit""))",Chrome 74.0.3729.169,,2019-06-11 13:26:47,2019-06-11 13:26:50,3.106s,PASSED
"click(findTestObject(""Object Repository/virualShowRSVPOR/Page_/a_Set Vhost""))",Chrome 74.0.3729.169,,2019-06-11 13:26:50,2019-06-11 13:26:51,0.464s,PASSED
"selectOptionByValue(findTestObject(""virualShowRSVPOR/Page_/select_cabitest""), ""19"", true)",Chrome 74.0.3729.169,,2019-06-11 13:26:51,2019-06-11 13:26:51,0.561s,PASSED
"click(findTestObject(""Object Repository/virualShowRSVPOR/Page_/input""))",Chrome 74.0.3729.169,,2019-06-11 13:26:51,2019-06-11 13:26:54,2.809s,PASSED
"micrositeURL = ""https://mirandakate.cabitest5.com/show-microsite/104595204/""",Chrome 74.0.3729.169,,2019-06-11 13:26:54,2019-06-11 13:26:55,0.796s,PASSED
navigateToUrl(micrositeURL),Chrome 74.0.3729.169,,2019-06-11 13:26:55,2019-06-11 13:27:19,23.778s,PASSED
delay(12),Chrome 74.0.3729.169,,2019-06-11 13:27:19,2019-06-11 13:27:31,12.045s,PASSED
"verifyElementText(findTestObject(""Object Repository/virualShowRSVPOR/Page_Show microsite/h1_Youre invited""), ""You're invited to Front Row"")",Chrome 74.0.3729.169,,2019-06-11 13:27:31,2019-06-11 13:27:31,0.118s,PASSED
"click(findTestObject(""Object Repository/virualShowRSVPOR/Page_Show microsite/button_Login to RSVP""))",Chrome 74.0.3729.169,,2019-06-11 13:27:31,2019-06-11 13:27:31,0.201s,PASSED
"setText(findTestObject(""Object Repository/virualShowRSVPOR/Page_Show microsite/input_Sign in  Create account_email""), guest1Mail)",Chrome 74.0.3729.169,Login with the invited guest,2019-06-11 13:27:31,2019-06-11 13:27:34,3.251s,PASSED
"click(findTestObject(""Object Repository/virualShowRSVPOR/Page_Show microsite/button_Continue""))",Chrome 74.0.3729.169,,2019-06-11 13:27:34,2019-06-11 13:27:35,0.196s,PASSED
delay(5),Chrome 74.0.3729.169,,2019-06-11 13:27:35,2019-06-11 13:27:40,5.004s,PASSED
"setText(findTestObject(""Object Repository/virualShowRSVPOR/Page_Show microsite/input_Welcome_password""), guest1Pass)",Chrome 74.0.3729.169,,2019-06-11 13:27:40,2019-06-11 13:27:40,0.404s,PASSED
"click(findTestObject(""Object Repository/virualShowRSVPOR/Page_Show microsite/button_Continue""))",Chrome 74.0.3729.169,,2019-06-11 13:27:40,2019-06-11 13:27:40,0.159s,PASSED
delay(5),Chrome 74.0.3729.169,,2019-06-11 13:27:40,2019-06-11 13:27:45,5.004s,PASSED
"if (verifyElementPresent(findTestObject(""Object Repository/virualShowRSVPOR/Page_Show microsite/complete_my_profile_later""), 0))",Chrome 74.0.3729.169,,2019-06-11 13:27:45,2019-06-11 13:27:55,10.124s,PASSED
"listElement = findWebElements(findTestObject(""Object Repository/virualShowRSVPOR/Page_Show microsite/div_Update your RSVP""), 5)",Chrome 74.0.3729.169,,2019-06-11 13:27:55,2019-06-11 13:27:56,0.751s,PASSED
if (empty),Chrome 74.0.3729.169,"Validating invited guest's 'Yes' RSVP
",2019-06-11 13:27:56,2019-06-11 13:27:56,0.001s,PASSED
else,Chrome 74.0.3729.169,,2019-06-11 13:27:56,2019-06-11 13:27:56,0.006s,PASSED
delay(5),Chrome 74.0.3729.169,,2019-06-11 13:27:56,2019-06-11 13:28:01,5.005s,PASSED
"click(findTestObject(""Object Repository/virualShowRSVPOR/Page_Show microsite/div_Update your RSVP""))",Chrome 74.0.3729.169,,2019-06-11 13:28:01,2019-06-11 13:28:01,0.379s,PASSED
delay(5),Chrome 74.0.3729.169,,2019-06-11 13:28:01,2019-06-11 13:28:06,5.007s,PASSED
"click(findTestObject(""Object Repository/virualShowRSVPOR/Page_Show microsite/select_rsvp_maybe""))",Chrome 74.0.3729.169,,2019-06-11 13:28:06,2019-06-11 13:28:07,0.120s,PASSED
"click(findTestObject(""Object Repository/virualShowRSVPOR/Page_Show microsite/select_rsvp_no""))",Chrome 74.0.3729.169,,2019-06-11 13:28:07,2019-06-11 13:28:07,0.126s,PASSED
"click(findTestObject(""Object Repository/virualShowRSVPOR/Page_Show microsite/select_rsvp_maybe""))",Chrome 74.0.3729.169,,2019-06-11 13:28:07,2019-06-11 13:28:07,0.083s,PASSED
"click(findTestObject(""Object Repository/virualShowRSVPOR/Page_Show microsite/button_SEND""))",Chrome 74.0.3729.169,,2019-06-11 13:28:07,2019-06-11 13:28:07,0.177s,PASSED
delay(5),Chrome 74.0.3729.169,,2019-06-11 13:28:07,2019-06-11 13:28:12,5.005s,PASSED
"verifyElementText(findTestObject(""Object Repository/virualShowRSVPOR/Page_Show microsite/h2_We hope youll be able to attend.""), ""We hope you'll be able to attend."")",Chrome 74.0.3729.169,,2019-06-11 13:28:12,2019-06-11 13:28:12,0.082s,PASSED
"click(findTestObject(""Object Repository/virualShowRSVPOR/Page_Show microsite/div_Update your RSVP""))",Chrome 74.0.3729.169,,2019-06-11 13:28:12,2019-06-11 13:28:12,0.141s,PASSED
"click(findTestObject(""Object Repository/virualShowRSVPOR/Page_Show microsite/select_rsvp_no""))",Chrome 74.0.3729.169,,2019-06-11 13:28:12,2019-06-11 13:28:12,0.170s,PASSED
"click(findTestObject(""Object Repository/virualShowRSVPOR/Page_Show microsite/button_SEND""))",Chrome 74.0.3729.169,,2019-06-11 13:28:12,2019-06-11 13:28:12,0.150s,PASSED
delay(5),Chrome 74.0.3729.169,,2019-06-11 13:28:12,2019-06-11 13:28:18,5.006s,PASSED
"verifyElementText(findTestObject(""Object Repository/virualShowRSVPOR/Page_Show microsite/h2_Sorry you cant make it.""), ""Sorry you can't make it."")",Chrome 74.0.3729.169,,2019-06-11 13:28:18,2019-06-11 13:28:18,0.084s,PASSED
"click(findTestObject(""Object Repository/virualShowRSVPOR/Page_Show microsite/div_Update your RSVP""))",Chrome 74.0.3729.169,,2019-06-11 13:28:18,2019-06-11 13:28:18,0.136s,PASSED
"click(findTestObject(""Object Repository/virualShowRSVPOR/Page_Show microsite/select_rsvp_yes""))",Chrome 74.0.3729.169,,2019-06-11 13:28:18,2019-06-11 13:28:18,0.129s,PASSED
"click(findTestObject(""Object Repository/virualShowRSVPOR/Page_Show microsite/button_SEND""))",Chrome 74.0.3729.169,,2019-06-11 13:28:18,2019-06-11 13:28:18,0.147s,PASSED
delay(5),Chrome 74.0.3729.169,,2019-06-11 13:28:18,2019-06-11 13:28:23,5.006s,PASSED
"verifyElementText(findTestObject(""Object Repository/virualShowRSVPOR/Page_Show microsite/h2_Were so glad you can make it.""), ""We're so glad you can make it."")",Chrome 74.0.3729.169,,2019-06-11 13:28:23,2019-06-11 13:28:23,0.081s,PASSED
delay(5),Chrome 74.0.3729.169,,2019-06-11 13:28:23,2019-06-11 13:28:28,5.007s,PASSED
"click(findTestObject(""Object Repository/virualShowRSVPOR/Page_Show microsite/profile_dropdown""))",Chrome 74.0.3729.169,,2019-06-11 13:28:28,2019-06-11 13:28:28,0.149s,PASSED
"click(findTestObject(""Object Repository/virualShowRSVPOR/Page_Show microsite/a_Sign Out""))",Chrome 74.0.3729.169,,2019-06-11 13:28:28,2019-06-11 13:28:28,0.146s,PASSED
"click(findTestObject(""Object Repository/virualShowRSVPOR/Page_Show microsite/button_Sign out""))",Chrome 74.0.3729.169,,2019-06-11 13:28:28,2019-06-11 13:28:29,0.151s,PASSED
delay(5),Chrome 74.0.3729.169,,2019-06-11 13:28:29,2019-06-11 13:28:34,5.003s,PASSED
navigateToUrl(micrositeURL),Chrome 74.0.3729.169,,2019-06-11 13:28:34,2019-06-11 13:28:51,17.869s,PASSED
delay(5),Chrome 74.0.3729.169,,2019-06-11 13:28:51,2019-06-11 13:28:56,5.005s,PASSED
"verifyElementText(findTestObject(""Object Repository/virualShowRSVPOR/Page_Show microsite/h1_Youre invited""), ""You're invited to Front Row"")",Chrome 74.0.3729.169,,2019-06-11 13:28:56,2019-06-11 13:28:57,0.087s,PASSED
delay(5),Chrome 74.0.3729.169,,2019-06-11 13:28:57,2019-06-11 13:29:02,5.004s,PASSED
"click(findTestObject(""Object Repository/virualShowRSVPOR/Page_Show microsite/button_Login to RSVP""))",Chrome 74.0.3729.169,,2019-06-11 13:29:02,2019-06-11 13:29:02,0.168s,PASSED
"setText(findTestObject(""Object Repository/virualShowRSVPOR/Page_Show microsite/input_Sign in  Create account_email""), guestUninvitedMail)",Chrome 74.0.3729.169,,2019-06-11 13:29:02,2019-06-11 13:29:05,3.279s,PASSED
"click(findTestObject(""Object Repository/virualShowRSVPOR/Page_Show microsite/button_Continue""))",Chrome 74.0.3729.169,,2019-06-11 13:29:05,2019-06-11 13:29:05,0.180s,PASSED
"setText(findTestObject(""Object Repository/virualShowRSVPOR/Page_Show microsite/input_Welcome_password""), guestUninvitedPass)",Chrome 74.0.3729.169,,2019-06-11 13:29:05,2019-06-11 13:29:06,0.952s,PASSED
"click(findTestObject(""Object Repository/virualShowRSVPOR/Page_Show microsite/button_Continue""))",Chrome 74.0.3729.169,,2019-06-11 13:29:06,2019-06-11 13:29:06,0.155s,PASSED
delay(5),Chrome 74.0.3729.169,,2019-06-11 13:29:06,2019-06-11 13:29:11,5.004s,PASSED
"if (verifyElementPresent(findTestObject(""Object Repository/virualShowRSVPOR/Page_Show microsite/complete_my_profile_later""), 0))",Chrome 74.0.3729.169,,2019-06-11 13:29:11,2019-06-11 13:29:19,7.966s,PASSED
delay(5),Chrome 74.0.3729.169,,2019-06-11 13:29:19,2019-06-11 13:29:24,5.005s,PASSED
"verifyElementText(findTestObject(""Object Repository/virualShowRSVPOR/Page_Show microsite/uninvited_user_msg""), ""Your name doesn't seem to be on the guest list. Contact your Hostess or Stylist for more information."")",Chrome 74.0.3729.169,,2019-06-11 13:29:24,2019-06-11 13:29:24,0.089s,PASSED
delay(5),Chrome 74.0.3729.169,,2019-06-11 13:29:24,2019-06-11 13:29:29,5.006s,PASSED
"click(findTestObject(""Object Repository/virualShowRSVPOR/Page_Show microsite/profile_dropdown""))",Chrome 74.0.3729.169,,2019-06-11 13:29:29,2019-06-11 13:29:29,0.151s,PASSED
"click(findTestObject(""Object Repository/virualShowRSVPOR/Page_Show microsite/a_Sign Out""))",Chrome 74.0.3729.169,,2019-06-11 13:29:29,2019-06-11 13:29:30,0.148s,PASSED
"click(findTestObject(""Object Repository/virualShowRSVPOR/Page_Show microsite/button_Sign out""))",Chrome 74.0.3729.169,,2019-06-11 13:29:30,2019-06-11 13:29:30,0.152s,PASSED
delay(5),Chrome 74.0.3729.169,,2019-06-11 13:29:30,2019-06-11 13:29:35,5.009s,PASSED
navigateToUrl(micrositeURL),Chrome 74.0.3729.169,,2019-06-11 13:29:35,2019-06-11 13:29:50,15.085s,PASSED
delay(5),Chrome 74.0.3729.169,,2019-06-11 13:29:50,2019-06-11 13:29:55,5.003s,PASSED
"verifyElementText(findTestObject(""Object Repository/virualShowRSVPOR/Page_Show microsite/h1_Youre invited""), ""You're invited to Front Row"")",Chrome 74.0.3729.169,,2019-06-11 13:29:55,2019-06-11 13:29:55,0.086s,PASSED
delay(5),Chrome 74.0.3729.169,,2019-06-11 13:29:55,2019-06-11 13:30:00,5.002s,PASSED
"click(findTestObject(""Object Repository/virualShowRSVPOR/Page_Show microsite/button_Login to RSVP""))",Chrome 74.0.3729.169,,2019-06-11 13:30:00,2019-06-11 13:30:00,0.171s,PASSED
"setText(findTestObject(""Object Repository/virualShowRSVPOR/Page_Show microsite/input_Sign in  Create account_email""), hostessMail)",Chrome 74.0.3729.169,,2019-06-11 13:30:00,2019-06-11 13:30:03,3.256s,PASSED
"click(findTestObject(""Object Repository/virualShowRSVPOR/Page_Show microsite/button_Continue""))",Chrome 74.0.3729.169,,2019-06-11 13:30:03,2019-06-11 13:30:04,0.184s,PASSED
"setText(findTestObject(""Object Repository/virualShowRSVPOR/Page_Show microsite/input_Welcome_password""), hostessPass)",Chrome 74.0.3729.169,,2019-06-11 13:30:04,2019-06-11 13:30:05,0.958s,PASSED
"click(findTestObject(""Object Repository/virualShowRSVPOR/Page_Show microsite/button_Continue""))",Chrome 74.0.3729.169,,2019-06-11 13:30:05,2019-06-11 13:30:05,0.161s,PASSED
delay(5),Chrome 74.0.3729.169,,2019-06-11 13:30:05,2019-06-11 13:30:10,5.005s,PASSED
"if (verifyElementPresent(findTestObject(""Object Repository/virualShowRSVPOR/Page_Show microsite/complete_my_profile_later""), 0))",Chrome 74.0.3729.169,,2019-06-11 13:30:10,2019-06-11 13:30:18,8.002s,PASSED
delay(5),Chrome 74.0.3729.169,,2019-06-11 13:30:18,2019-06-11 13:30:23,5.005s,PASSED
"verifyElementText(findTestObject(""Object Repository/virualShowRSVPOR/Page_Show microsite/hostess_msg""), ""Thanks for hosting."")",Chrome 74.0.3729.169,,2019-06-11 13:30:23,2019-06-11 13:30:55,31.860s,FAILED
