Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
MicrositeTestSuite,Chrome 73.0.3683.103,,2019-04-09 17:39:34,2019-04-09 17:42:35,3m - 0.241s,FAILED
,,,,,,
Test Cases/createShow,Chrome 73.0.3683.103,,2019-04-09 17:39:35,2019-04-09 17:41:12,1m - 37.042s,PASSED
"openBrowser("""")",Chrome 73.0.3683.103,,2019-04-09 17:39:36,2019-04-09 17:39:39,3.543s,PASSED
maximizeWindow(),Chrome 73.0.3683.103,,2019-04-09 17:39:39,2019-04-09 17:39:40,1.178s,PASSED
"navigateToUrl(findTestData(""virtualShowData"").getValue(7, 1))",Chrome 73.0.3683.103,,2019-04-09 17:39:40,2019-04-09 17:39:50,9.562s,PASSED
"setText(findTestObject(""Page_cabi/input_username""), findTestData(""virtualShowData"").getValue(1, 1))",Chrome 73.0.3683.103,,2019-04-09 17:39:50,2019-04-09 17:39:50,0.240s,PASSED
"setText(findTestObject(""Page_cabi/input_password""), findTestData(""virtualShowData"").getValue(2, 1))",Chrome 73.0.3683.103,,2019-04-09 17:39:50,2019-04-09 17:39:50,0.186s,PASSED
"click(findTestObject(""Page_cabi/input_consultantLogin""))",Chrome 73.0.3683.103,,2019-04-09 17:39:50,2019-04-09 17:40:03,12.685s,PASSED
delay(10),Chrome 73.0.3683.103,,2019-04-09 17:40:03,2019-04-09 17:40:13,10.044s,PASSED
"verifyElementText(findTestObject(""Page_cabi/span_username""), findTestData(""virtualShowData"").getValue(17, 1))",Chrome 73.0.3683.103,,2019-04-09 17:40:13,2019-04-09 17:40:13,0.146s,PASSED
"rightClick(findTestObject(""Page_cabi Home/a_shows _orders""))",Chrome 73.0.3683.103,,2019-04-09 17:40:13,2019-04-09 17:40:13,0.110s,PASSED
"click(findTestObject(""Page_cabi Home/a_Create_A_Show""))",Chrome 73.0.3683.103,,2019-04-09 17:40:13,2019-04-09 17:40:18,4.578s,PASSED
"setText(findTestObject(""Page_cabi Create Show - Set Hostess/input_Hostess""), findTestData(""virtualShowData"").getValue(3, 1))",Chrome 73.0.3683.103,,2019-04-09 17:40:18,2019-04-09 17:40:18,0.314s,PASSED
"rightClick(findTestObject(""Page_cabi Create Show - Set Hostess/input_Hostess""))",Chrome 73.0.3683.103,,2019-04-09 17:40:18,2019-04-09 17:40:18,0.077s,PASSED
"click(findTestObject(""Page_cabi Create Show - Set Hostess/a_select_hostess""))",Chrome 73.0.3683.103,,2019-04-09 17:40:18,2019-04-09 17:40:20,1.671s,PASSED
"setText(findTestObject(""Page_cabi Create Show - Set Hostess/input_Hostess_Txt""), findTestData(""virtualShowData"").getValue(3, 1))",Chrome 73.0.3683.103,,2019-04-09 17:40:20,2019-04-09 17:40:20,0.278s,PASSED
"validateHostessAddressMsg = findWebElements(findTestObject(""Page_cabi Create Show - Set Hostess/validate_address_msg""), 5)",Chrome 73.0.3683.103,,2019-04-09 17:40:20,2019-04-09 17:40:21,0.586s,PASSED
println(validateHostessAddressMsg.size()),Chrome 73.0.3683.103,,2019-04-09 17:40:21,2019-04-09 17:40:21,0.005s,PASSED
if (validateHostessAddressMsg.isEmpty()),Chrome 73.0.3683.103,,2019-04-09 17:40:21,2019-04-09 17:40:21,0.001s,PASSED
"selectOptionByValue(findTestObject(""Page_cabi Create Show - Set Hostess/select_Choose_From_Contacts_Co-Hostess""), ""3"", true)",Chrome 73.0.3683.103,,2019-04-09 17:40:21,2019-04-09 17:40:21,0.195s,PASSED
