Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
MicrositeTestSuite,Chrome 73.0.3683.103,,2019-04-17 16:47:47,2019-04-17 16:51:15,3m - 27.712s,FAILED
,,,,,,
Test Cases/createShow,Chrome 73.0.3683.103,,2019-04-17 16:47:48,2019-04-17 16:49:46,1m - 58.791s,PASSED
"openBrowser("""")",Chrome 73.0.3683.103,,2019-04-17 16:47:49,2019-04-17 16:47:55,5.599s,PASSED
maximizeWindow(),Chrome 73.0.3683.103,,2019-04-17 16:47:55,2019-04-17 16:47:56,1.318s,PASSED
navigateToUrl(testEnvt),Chrome 73.0.3683.103,,2019-04-17 16:47:56,2019-04-17 16:48:09,13.036s,PASSED
"setText(findTestObject(""Page_cabi/input_username""), username)",Chrome 73.0.3683.103,,2019-04-17 16:48:09,2019-04-17 16:48:10,0.537s,PASSED
"setText(findTestObject(""Page_cabi/input_password""), password)",Chrome 73.0.3683.103,,2019-04-17 16:48:10,2019-04-17 16:48:10,0.329s,PASSED
"click(findTestObject(""Page_cabi/input_consultantLogin""))",Chrome 73.0.3683.103,,2019-04-17 16:48:10,2019-04-17 16:48:23,13.132s,PASSED
delay(10),Chrome 73.0.3683.103,,2019-04-17 16:48:23,2019-04-17 16:48:33,10.065s,PASSED
"verifyElementText(findTestObject(""Page_cabi/span_username""), stylist)",Chrome 73.0.3683.103,,2019-04-17 16:48:33,2019-04-17 16:48:33,0.157s,PASSED
"rightClick(findTestObject(""Page_cabi Home/a_shows _orders""))",Chrome 73.0.3683.103,,2019-04-17 16:48:33,2019-04-17 16:48:34,0.272s,PASSED
"click(findTestObject(""Page_cabi Home/a_Create_A_Show""))",Chrome 73.0.3683.103,,2019-04-17 16:48:34,2019-04-17 16:48:39,5.451s,PASSED
"setText(findTestObject(""Page_cabi Create Show - Set Hostess/input_Hostess""), hostess)",Chrome 73.0.3683.103,,2019-04-17 16:48:39,2019-04-17 16:48:40,0.673s,PASSED
"rightClick(findTestObject(""Page_cabi Create Show - Set Hostess/input_Hostess""))",Chrome 73.0.3683.103,,2019-04-17 16:48:40,2019-04-17 16:48:40,0.156s,PASSED
"click(findTestObject(""Page_cabi Create Show - Set Hostess/a_select_hostess""))",Chrome 73.0.3683.103,,2019-04-17 16:48:40,2019-04-17 16:48:41,0.761s,PASSED
